taxId	organismName	commonName	assemblyAccession	assemblyName	bioProjectAccession	biosampleAccession	lastUpdated	submitter	totalSequenceLength (bp)	totalUngappedLength (bp)	numberOfSequence	L50	N50 (kb)
92439	Siganus guttatus	orange-spotted spinefoot	CNA0013734	Siganus_guttatus.genome	CNP0000961	CNS0203373	################	Jieming Chen	672000000	639000000	11038	41	4596
173339	Trachinotus ovatus	derbio	CNA0013725	Trachitus_ovatus.genome	CNP0000961	CNS0203369	################	Jieming Chen	647000000	641000000	17706	12	27026
138055	Faidherbia albida	NA	CNA0000024	Faalbi_1.1	CNP0000096	CNS0003505	################	liu min	654000000	644000000	51470	263	692
229062	Diodon holocanthus	long-spine porcupinefish	CNA0004138	assembly_sample1	CNP0000691	CNS0130050	################	云 小 黄	650000000	647000000	9582	23	8129
200023	Begonia loranthoides	NA	CNA0013974	Denovo assembly of Begonia loranthoides	CNP0001056	CNS0227979	################	dongming fang	672000000	650000000	8679	9	33309
2871759	Seriola aureovittata	NA	CNA0036066	SauChrV1	CNP0002155	CNS0420299	################	李明(Lemon Li)	650000000	650000000	149	11	28346
2871759	Seriola aureovittata	NA	CNA0036393	SauChrV1.1	CNP0002155	CNS0420299	################	李明(Lemon Li)	650000000	650000000	149	11	28346
370040	Planiliza haematocheilus	so-iny mullet	CNA0036065	Planiliza haematocheila	CNP0001604	CNS0327668	################	郭浩冰(Haobing Guo)	653000000	652000000	514	12	28006
334908	Larimichthys polyactis	yellow croaker	CNA0019204	Larimichthys polyactis genome assembly	CNP0001482	CNS0305236	################	王乐(Wang Le)	653000000	653000000	551	11	27312
223145	Diodon hystrix	spot-fin porcupinefish	CNA0013722	Diodon hystrix genome	CNP0000961	CNS0203363	################	Jieming Chen	656000000	653000000	473	9	30773
214431	Scortum barcoo	jade perch	CNA0047397	Scortum_barcoo.hic.genome_remove1158.fa	CNP0002889	CNS0538329	################	卞超(bianchao)	658000000	658000000	1258	11	28580
214431	Scortum barcoo	jade perch	CNA0013726	Chromosome_Scortum_barcoo.fa	CNP0000961	CNS0203359	################	Jieming Chen	658000000	658000000	1259	11	28580
94323	Crassostrea ariakensis	Suminoe oyster	CNA0022698	Assembly of Jinjiang oyster using PacBio HiFi-CCS long reads	CNP0001149	CNS0353631	################	mengjun yu	663000000	663000000	60	5	66336
118357	Rhododendron simsii	NA	CNA0003275	Rhododendron_simsii.genome.fa	CNP0000524	CNS0101651	################	lei lan	664000000	664000000	1807	241	743
109707	Chaetodon trifasciatus	melon butterflyfish	CNA0004146	assemble2-3	CNP0000691	CNS0130325	################	云 小 黄	668000000	667000000	10194	22	10044
3670	Luffa aegyptiaca	vegetable sponge	CNA0007250	Luffa	CNP0000780	CNS0139036	################	Tao Zhang	670000000	670000000	798	7	48664
91721	Heterotis niloticus	African bonytongue	CNA0004139	assembly_sample2	CNP0000691	CNS0130051	################	云 小 黄	671000000	671000000	4244	24	9354
91721	Heterotis niloticus	African bonytongue	CNA0018882	African_arowana_BGI_2020	CNP0001313	CNS0279772	################	世杰 郝	671000000	671000000	3995	9	32427
137939	Aralia echinocaulis	NA	CNA0002514	TKP_DyBine_genome	CNP0000405	CNS0064411	################	燕南 范	746000000	676000000	167155	216	599
34254	Lithospermum erythrorhizon	NA	CNA0029378	le.genome	CNP0002039	CNS0395983	################	Chengyi Tang	693000000	693000000	3668	740	238
30790	Lophius litulon	anglerfish	CNA0007339	Lophius assembly	CNP0000642	CNS0110483	################	美琪 吕	709000000	698000000	24189	10	32491
43782	Dipteronia sinensis	NA	CNA0042438	Dis_genome	CNP0002617	CNS0504663	################	冯钰(Yu FENG)	711000000	710000000	1024	5	71320
2052489	Lactuca palmensis	NA	CNA0014193	TKI-494_L.palmensis	CNP0000335	CNS0047526	################	杨婷(TING YANG)	720000000	712000000	1010329	20894	8
193516	Hippophae rhamnoides	sea buckthorn	CNA0022752	TKP_HiRha_1.0	CNP0001846	CNS0383685	################	陈宏运(Hongyun Chen)	730000000	730000000	1386	5	65057
1672629	Elaeagnus conferta	NA	CNA0002515	TKP_ElConf_genome	CNP0000405	CNS0064394	################	燕南 范	795000000	731000000	304059	9772	10
119488	Siniperca chuatsi	Chinese bass	CNA0013729	Siniperca_chuatsi_chromosome_assembly	CNP0000961	CNS0203360	################	Jieming Chen	759000000	738000000	49947	12	29599
119488	Siniperca chuatsi	Chinese bass	CNA0013732	Siniperca_chuatsi.genome	CNP0000973	CNS0204384	################	Xinhui Zhang	759000000	738000000	49947	12	29599
587869	Albizia chinensis	NA	CNA0002504	TKP_AlChin_genome	CNP0000405	CNS0064414	################	燕南 范	749000000	740000000	152320	6014	41
337630	Malapterurus electricus	electric catfish	CNA0052018	Malapterurus_electricus.genome	CNP0004026	CNS0682017	################	刘美如	797000000	740000000	16844	13	25456
153471	Populus alba x Populus glandulosa	NA	CNA0003521	84k_v1.0	CNP0000339	CNS0047055	################	shenglong bai	749000000	749000000	843	15	19641
113540	Scleropages formosus	golden arowana	CNA0050694	Scleropages formosus Male Hic 2.0	CNP0002832	CNS0567336	################	Jieming Chen	757000000	757000000	705	11	29536
113540	Scleropages formosus	golden arowana	CNA0047357	the genome of male Scleropages formosus	CNP0002832	CNS0529515	################	Jieming Chen	789000000	780000000	149334	11	30068
113540	Scleropages formosus	golden arowana	CNA0047356	the genome of female Scleropages formosus	CNP0002832	CNS0529505	################	Jieming Chen	781000000	781000000	749	11	29809
2843217	Rhaphiolepis bibas	loquat	CNA0019282	JFZ	CNP0001531	CNS0315928	################	静一(Yi Jing)	762000000	761000000	100	8	43164
3681	unclassified Begonia species	NA	CNA0013973	Denovo assembly of Begonia darthvaderiana	CNP0001056	CNS0227980	################	dongming fang	785000000	783000000	1731	7	50030
7950	Clupea harengus	Atlantic herring	CNA0002640	Herring_Ch_v2.0.2.fasta.gz	CNP0000463	CNS0094912	################	Chang Li	786000000	785000000	1723	13	29845
8240	Thunnus maccoyii	southern bluefin tuna	CNA0013728	Thunnus_maccoyii_genome	CNP0000961	CNS0203361	################	Jieming Chen	807000000	794000000	95979	70	3307
307972	Apostichopus japonicus	Japanese sea cucumber	CNA0046513	AJH1.0	CNP0002776	CNS0525912	################	王忆新	805000000	799000000	721	10	36137
198562	Begonia masoniana	NA	CNA0013975	Denovo assembly of Begonia masoniana	CNP0001056	CNS0227981	################	dongming fang	800000000	799000000	876	7	52515
13095	Hypophthalmichthys molitrix	silver carp	CNA0019188	HM assembly	CNP0000974	CNS0209133	################	斌 吴	837000000	800000000	130461	15	23895
214486	Sebastes schlegelii	Korean rockfish	CNA0000824	Black rockfish genome	CNP0000222	CNS0019759	################	yu meng jun	811000000	811000000	1452	60	3847
240159	Collichthys lucidus	big head croaker	CNA0013730	Collichthys lucidus chromosome assembly	CNP0000961	CNS0203370	################	Jieming Chen	817000000	811000000	10973	14	26576
160734	Plectropomus leopardus	leopard coral trout	CNA0004108	genome of Plectropomus leopardus	CNP0000665	CNS0238768	################	haoyang Gao	903000000	812000000	94404	13	33467
160734	Plectropomus leopardus	leopard coral trout	CNA0007316	Plectropomus_leopardus.genome	CNP0000859	CNS0189256	################	Xinhui Zhang	913000000	913000000	1344	11	40038
238067	Naso vlamingii	bignose unicornfish	CNA0004142	assembly_sample6	CNP0000691	CNS0130055	################	云 小 黄	861000000	842000000	14629	37	5734
7965	Hypophthalmichthys nobilis	silver carp	CNA0019189	HN assembly	CNP0000974	CNS0209134	################	斌 吴	856000000	845000000	121098	12	30849
42563	Hepsetus odoe	Kafuke pike	CNA0013970	Hepsetus_odoe_Final	CNP0001012	CNS0223899	################	Xiaoning Hong	864000000	848000000	26325	15	25843
181101	Panurus biarmicus	NA	CNA0003501	B10K-DU-030-18	CNP0000505	CNS0103224	################	Guangji Chen	919000000	855000000	25727	1784	122
310915	Pangasianodon hypophthalmus	iridescent shark-catfish	CNA0013719	Pangasianodon hypophthalmus genome	CNP0000961	CNS0203368	################	Jieming Chen	869000000	868000000	46	9	39825
7654	Lytechinus variegatus	green sea urchin	CNA0013733	Lva_draft.fasta	CNP0000959	CNS0204748	################	浩冰 郭	870000000	870000000	104	7	45571
212656	Castanopsis tibetana	NA	CNA0019678	genome_assembly_Ct	CNP0001714	CNS0353559	################	Ye Sun	879000000	879000000	37	5	76687
7924	Amia calva	bowfin	CNA0007307	BGI_Acal_1.1	CNP0000841	CNS0186506	################	xupeng bi	955000000	886000000	509564	159	1761
75330	Rhodeus ocellatus	rosy bitterling	CNA0004145	assemble2-2	CNP0000691	CNS0130324	################	云 小 黄	902000000	902000000	4148	49	4198
59970	Aegiceras corniculatum	NA	CNA0017738	Acor1.0	CNP0001270	CNS0267886	################	马东娜(Dongna Ma)	903000000	903000000	393	11	37736
182895	Brachypodius atriceps	black-headed bulbul	CNA0003565	OUT-0037	CNP0000505	CNS0103257	################	Guangji Chen	907000000	903000000	3820	14	17537
50786	Swertia tetraptera	NA	CNA0036281	Swertia	CNP0002339	CNS0466258	################	朱铭佳(mingjia zhu)	903000000	903000000	118	3	144832
54454	Mytilaria laosensis	NA	CNA0002526	TKP_MyLaos_genome	CNP0000405	CNS0064398	################	燕南 范	939000000	903000000	414882	10741	13
589841	Hypocryptadius cinnamomeus	NA	CNA0003416	B10K-DU-002-83	CNP0000505	CNS0103142	################	Guangji Chen	916000000	904000000	646058	5962	34
237442	Tichodroma muraria	NA	CNA0003452	B10K-DU-012-47	CNP0000505	CNS0103177	################	Guangji Chen	965000000	911000000	578875	6708	27
135184	Todus mexicanus	puerto rican tody	CNA0003410	B10K-DU-002-69	CNP0000505	CNS0103136	################	Guangji Chen	928000000	912000000	847126	19912	10
222567	Strobilanthes cusia	NA	CNA0019301	PEdu1.0	CNP0001632	CNS0343944	################	Yongle Hu(Yongle Hu)	913000000	912000000	108	6	68439
168575	Dipteronia dyeriana	NA	CNA0042437	Did_genome	CNP0002617	CNS0504662	################	冯钰(Yu FENG)	915000000	915000000	90	4	110517
254563	Neodrepanis coruscans	wattled asity	CNA0003413	B10K-DU-002-79	CNP0000505	CNS0103139	################	Guangji Chen	1090000000	920000000	821695	14803	16
70551	Pseudobrama simoni	NA	CNA0004144	assemble2-1	CNP0000691	CNS0130323	################	云 小 黄	929000000	929000000	1074	24	13799
61819	Amphilophus citrinellus	Midas cichlid	CNA0047398	Amphilophus_citrinellus.genomic.fa	CNP0002914	CNS0539345	################	吕云云(Yunyun Lv)	933000000	933000000	845	25	10596
205524	Solanum aethiopicum	gilo	CNA0002406	S_aeth_genome	CNP0000317	CNS0046084	################	渊 符	1030000000	936000000	162187	536	516
8805	Eudromia elegans	elegant crested-tinamou	CNA0003507	B10K-Eudromia-elegans	CNP0000505	CNS0103230	################	Guangji Chen	959000000	937000000	2603	50	6275
2585814	Nothoprocta pentlandii	NA	CNA0003514	B10K-Nothoprocta-pentlandii	CNP0000505	CNS0103288	################	Guangji Chen	985000000	940000000	5079	247	1104
83376	Nothoprocta ornata	NA	CNA0003513	B10K-Nothoprocta-ornata	CNP0000505	CNS0103235	################	Guangji Chen	978000000	943000000	4111	77	3960
468512	Rhegmatorhina hoffmannsi	white-breasted antbird	CNA0003552	OUT-0010	CNP0000505	CNS0103243	################	Guangji Chen	952000000	947000000	2328	25	11805
28511	Pogostemon cablin	patchouli	CNA0036195	GZUCM.clk.V1	CNP0002290	CNS0462937	################	陈立凯(Chen Likai)	953000000	953000000	817	15	29325
27706	Micropterus salmoides	largemouth blackbass	CNA0013686	Micropterus_salmoides.genome	CNP0000894	CNS0196037	################	jinmin lian	964000000	962000000	4753	12	36481
37610	Erithacus rubecula	European robin	CNA0003555	OUT-0015	CNP0000505	CNS0103246	################	Guangji Chen	980000000	965000000	2473	46	5917
57439	Upupa epops	Eurasian hoopoe	CNA0003447	B10K-DU-012-37	CNP0000505	CNS0103172	################	Guangji Chen	978000000	967000000	74719	1097	226
1977171	Nothocercus nigrocapillus	NA	CNA0003512	B10K-Nothocercus-nigrocapillus	CNP0000505	CNS0103234	################	Guangji Chen	1020000000	968000000	6434	106	2648
2529409	Turnix velox	Little buttonquail	CNA0003486	B10K-DU-029-46	CNP0000505	CNS0103210	################	Guangji Chen	984000000	969000000	186152	1530	146
13715	Tetracentron sinense	NA	CNA0019233	TsiChr	CNP0001566	CNS0324354	################	徐任平(Renping Xu)	974000000	974000000	24	11	40152
886794	Odontophorus gujanensis	marbled wood quail	CNA0003344	B10K-DU-001-53	CNP0000505	CNS0103071	################	Guangji Chen	984000000	977000000	72794	790	341
103954	Corythaeola cristata	great blue turaco	CNA0003301	B10K-CU-031-40	CNP0000505	CNS0103032	################	Guangji Chen	1100000000	978000000	37147	2688	102
2585813	Nothocercus julius	NA	CNA0003511	B10K-Nothocercus-julius	CNP0000505	CNS0103287	################	Guangji Chen	1020000000	978000000	4973	65	4059
1218682	Chloropsis cyanopogon	NA	CNA0003406	B10K-DU-002-57	CNP0000505	CNS0103132	################	Guangji Chen	1020000000	978000000	320697	2262	100
1463973	Elachura formosa	spotted wren-babbler	CNA0003506	B10K-Elachura-formosa	CNP0000505	CNS0103229	################	Guangji Chen	1010000000	981000000	9416	190	1206
135168	Bucco capensis	collared puffbird	CNA0003312	B10K-DU-001-16	CNP0000505	CNS0103043	################	Guangji Chen	999000000	983000000	128407	655	332
48155	Sylvia atricapilla	blackcap	CNA0003554	OUT-0013	CNP0000505	CNS0103245	################	Guangji Chen	1020000000	984000000	96	13	21997
614051	Cercotrichas coryphoeus	Karoo scrub-robin	CNA0003563	OUT-0024	CNP0000505	CNS0103254	################	Guangji Chen	1030000000	984000000	5918	291	1026
245048	Buphagus erythrorhynchus	red-billed oxpecker	CNA0003443	B10K-DU-012-02	CNP0000505	CNS0103168	################	Guangji Chen	1090000000	985000000	638016	7382	34
98144	Oxylabes madagascariensis	white-throated Oxylabes	CNA0003414	B10K-DU-002-81	CNP0000505	CNS0103140	################	Guangji Chen	1260000000	985000000	840106	17352	14
495550	Anabarilius grahami	NA	CNA0000808	Anabarilius grahami genome assembly	CNP0000137	CNS0009542	################	樱 邱	1010000000	988000000	178232	62	4411
689266	Oreotrochilus melanogaster	NA	CNA0003547	OUT-0002	CNP0000505	CNS0103238	################	Guangji Chen	1130000000	990000000	249398	1906	163
317792	Anhinga rufa	African darter	CNA0003474	B10K-DU-029-28	CNP0000505	CNS0103198	################	Guangji Chen	1070000000	991000000	641645	16650	15
337179	Emberiza fucata	NA	CNA0003461	B10K-DU-015-11	CNP0000505	CNS0103186	################	Guangji Chen	1030000000	991000000	11181	272	911
1463675	Centropus bengalensis	lesser coucal	CNA0003463	B10K-DU-017-21	CNP0000505	CNS0103188	################	Guangji Chen	1020000000	992000000	9410	232	1200
239371	Sapayoa aenigma	broad-billed sapayoa	CNA0003504	B10K-DU-030-41	CNP0000505	CNS0103227	################	Guangji Chen	1020000000	994000000	9858	643	373
113115	Rhinopomastus cyanomelas	common scimitar-bill	CNA0003390	B10K-DU-002-35	CNP0000505	CNS0103116	################	Guangji Chen	1000000000	996000000	77971	623	411
308565	Epinephelus cyanopodus	specked blue grouper	CNA0050686	E.cyanopodus_chr_v1	CNP0003138	CNS0567004	################	曹晓颖(Xiaoying cao)	999000000	999000000	106	11	41979
279966	Oenanthe oenanthe	Northern wheatear	CNA0003361	B10K-DU-001-74	CNP0000505	CNS0103088	################	Guangji Chen	1010000000	999000000	102343	534	505
670356	Prunella himalayana	NA	CNA0003459	B10K-DU-013-18	CNP0000505	CNS0103184	################	Guangji Chen	1020000000	1000000000	5620	160	1828
161649	Cinclus mexicanus	NA	CNA0003363	B10K-DU-001-77	CNP0000505	CNS0103090	################	Guangji Chen	1010000000	1000000000	173517	1200	207
156561	Anthoscopus minutus	NA	CNA0003441	B10K-DU-011-42	CNP0000505	CNS0103167	################	Guangji Chen	1010000000	1000000000	316153	2116	103
463165	Furnarius figulus	NA	CNA0003417	B10K-DU-003-06	CNP0000505	CNS0103143	################	Guangji Chen	1020000000	1000000000	7714	345	696
13245	Regulus satrapa	golden-crowned kinglet	CNA0003314	B10K-DU-001-18	CNP0000505	CNS0103045	################	Guangji Chen	1020000000	1000000000	111055	731	357
85069	Dryoscopus gambensis	NA	CNA0003405	B10K-DU-002-56	CNP0000505	CNS0103131	################	Guangji Chen	1020000000	1000000000	317817	2038	104
58203	Rhodinocichla rosea	NA	CNA0003293	B10K-CU-031-12	CNP0000505	CNS0103024	################	Guangji Chen	1030000000	1000000000	5025	102	2632
36275	Leiothrix lutea	Pekin robin	CNA0003395	B10K-DU-002-43	CNP0000505	CNS0103121	################	Guangji Chen	1060000000	1000000000	16987	915	297
670355	Prunella fulvescens	Brown accentor	CNA0003451	B10K-DU-012-46	CNP0000505	CNS0103176	################	Guangji Chen	1060000000	1010000000	191539	2273	118
208069	Sylvietta virens	Green crombec	CNA0003436	B10K-DU-009-59	CNP0000505	CNS0103162	################	Guangji Chen	1030000000	1010000000	4612	93	2642
1109041	Galbula dea	NA	CNA0003350	B10K-DU-001-62	CNP0000505	CNS0103077	################	Guangji Chen	1010000000	1010000000	72399	212	1166
720584	Malurus elegans	Red-winged fairywren	CNA0003485	B10K-DU-029-44	CNP0000505	CNS0103209	################	Guangji Chen	1020000000	1010000000	73876	579	456
73327	Aegithalos caudatus	Long-tailed Tit	CNA0003373	B10K-DU-002-10	CNP0000505	CNS0103100	################	Guangji Chen	1030000000	1010000000	153849	810	304
52622	Cisticola juncidis	NA	CNA0003388	B10K-DU-002-30	CNP0000505	CNS0103114	################	Guangji Chen	1020000000	1010000000	52841	314	876
107208	Erythrocercus mccallii	NA	CNA0003409	B10K-DU-002-60	CNP0000505	CNS0103135	################	Guangji Chen	1030000000	1010000000	11375	722	347
797021	Copsychus sechellarum	NA	CNA0003578	OUT-0061	CNP0000505	CNS0103273	################	Guangji Chen	1050000000	1010000000	3664	16	18557
667154	Dicaeum eximium	NA	CNA0003330	B10K-DU-001-34	CNP0000505	CNS0103058	################	Guangji Chen	1020000000	1010000000	45299	238	1082
266360	Grantiella picta	NA	CNA0003489	B10K-DU-029-50	CNP0000505	CNS0103213	################	Guangji Chen	1020000000	1010000000	40461	252	1131
932028	Pomatorhinus ruficollis	streak-breasted scimitar babbler	CNA0003510	B10K-IZ-033-81	CNP0000505	CNS0103233	################	Guangji Chen	1070000000	1010000000	15776	217	1275
127929	Leucopsar rothschildi	Bali myna	CNA0003367	B10K-DU-002-02	CNP0000505	CNS0103094	################	Guangji Chen	1020000000	1010000000	43697	470	603
50251	Sitta europaea	Kleiber	CNA0003385	B10K-DU-002-25	CNP0000505	CNS0103112	################	Guangji Chen	1020000000	1010000000	39511	430	655
198940	Calcarius ornatus	NA	CNA0003462	B10K-DU-015-28	CNP0000505	CNS0103187	################	Guangji Chen	1060000000	1010000000	10665	219	1242
175131	Picathartes gymnocephalus	NA	CNA0003446	B10K-DU-012-30	CNP0000505	CNS0103171	################	Guangji Chen	1060000000	1020000000	200811	2098	108
48891	Poecile atricapillus	Black-capped chickadee	CNA0003562	OUT-0023	CNP0000505	CNS0103253	################	Guangji Chen	1050000000	1020000000	3123	21	11311
667186	Rhipidura dahli	NA	CNA0003343	B10K-DU-001-49	CNP0000505	CNS0103070	################	Guangji Chen	1020000000	1020000000	32210	360	788
187106	Caloenas nicobarica	Nicobar pigeon	CNA0003550	OUT-0007	CNP0000505	CNS0103241	################	Guangji Chen	1030000000	1020000000	3686	16	20885
2585811	Horornis vulcanius	NA	CNA0003495	B10K-DU-029-69	CNP0000505	CNS0103286	################	Guangji Chen	1270000000	1020000000	725103	20303	14
366454	Notiomystis cincta	NA	CNA0003496	B10K-DU-029-75	CNP0000505	CNS0103219	################	Guangji Chen	1030000000	1020000000	67088	1820	153
1112836	Erpornis zantholeuca	NA	CNA0003407	B10K-DU-002-58	CNP0000505	CNS0103133	################	Guangji Chen	1040000000	1020000000	250628	1389	169
243059	Dasyornis broadbenti	rufous bristle-bird	CNA0003488	B10K-DU-029-49	CNP0000505	CNS0103212	################	Guangji Chen	1030000000	1020000000	29408	193	1409
176039	Eolophus roseicapilla	rose-breasted cockatoo	CNA0003470	B10K-DU-025-06	CNP0000505	CNS0103195	################	Guangji Chen	1070000000	1020000000	14265	618	439
456388	Neopipo cinnamomea	NA	CNA0003421	B10K-DU-004-15	CNP0000505	CNS0103147	################	Guangji Chen	1050000000	1020000000	11127	493	496
187437	Locustella ochotensis	Middendorff's grasshopper-warbler	CNA0003372	B10K-DU-002-09	CNP0000505	CNS0103099	################	Guangji Chen	1040000000	1020000000	10759	421	661
1118817	Penelope pileata	NA	CNA0003309	B10K-DU-001-08	CNP0000505	CNS0103040	################	Guangji Chen	1030000000	1020000000	30220	361	731
161653	Phainopepla nitens	NA	CNA0003389	B10K-DU-002-32	CNP0000505	CNS0103115	################	Guangji Chen	1030000000	1020000000	75292	497	537
115618	Columbina picui	picui ground-dove	CNA0003466	B10K-DU-021-26	CNP0000505	CNS0103191	################	Guangji Chen	1100000000	1020000000	13409	441	616
571890	Urocynchramus pylzowi	NA	CNA0003448	B10K-DU-012-38	CNP0000505	CNS0103173	################	Guangji Chen	1030000000	1020000000	45012	287	1009
73330	Certhia brachydactyla	short-toed tree-creeper	CNA0003381	B10K-DU-002-20	CNP0000505	CNS0103108	################	Guangji Chen	1030000000	1020000000	35677	326	868
73333	Certhia familiaris	Eurasian tree-creeper	CNA0003566	OUT-0039	CNP0000505	CNS0103259	################	Guangji Chen	1070000000	1020000000	30265	320	859
94232	Epinephelus coioides	orange-spotted grouper	CNA0000026	Grouper	CNP0000079	CNS0005669	################	Yong zhang	1020000000	1020000000	1450	117	2567
371919	Pheucticus melanocephalus	NA	CNA0003557	OUT-0018	CNP0000505	CNS0103248	################	Guangji Chen	1050000000	1020000000	44766	339	705
96539	Loxia leucoptera	white-winged crossbill	CNA0003315	B10K-DU-001-19	CNP0000505	CNS0103046	################	Guangji Chen	1030000000	1020000000	58467	459	612
208073	Hylia prasina	green hylia	CNA0003358	B10K-DU-001-70	CNP0000505	CNS0103085	################	Guangji Chen	1040000000	1030000000	84639	393	679
99882	Toxostoma redivivum	NA	CNA0003377	B10K-DU-002-15	CNP0000505	CNS0103104	################	Guangji Chen	1040000000	1030000000	50954	383	743
74200	Thryothorus ludovicianus	Carolina wren	CNA0003356	B10K-DU-001-68	CNP0000505	CNS0103083	################	Guangji Chen	1040000000	1030000000	117732	570	481
254557	Mionectes macconnelli	McConnell's flycatcher	CNA0003418	B10K-DU-003-16	CNP0000505	CNS0103144	################	Guangji Chen	1040000000	1030000000	4538	167	1649
441696	Ploceus nigricollis	NA	CNA0003365	B10K-DU-001-79	CNP0000505	CNS0103092	################	Guangji Chen	1040000000	1030000000	68467	401	726
64802	Loxia curvirostra	red crossbill	CNA0003553	OUT-0011	CNP0000505	CNS0104860	################	Guangji Chen	1030000000	1030000000	64453	91	3107
667144	Chloropsis hardwickii	NA	CNA0003509	B10K-IZ-033-78	CNP0000505	CNS0103232	################	Guangji Chen	1060000000	1030000000	12490	459	590
720586	Origma solitaria	NA	CNA0003491	B10K-DU-029-52	CNP0000505	CNS0103215	################	Guangji Chen	1040000000	1030000000	30267	227	1258
125297	Bombycilla garrulus	bohemian waxwing	CNA0003383	B10K-DU-002-23	CNP0000505	CNS0103110	################	Guangji Chen	1040000000	1030000000	90930	441	605
363769	Smithornis capensis	NA	CNA0003297	B10K-CU-031-20	CNP0000505	CNS0103028	################	Guangji Chen	1060000000	1030000000	7265	148	1785
458187	Crypturellus soui	NA	CNA0003283	B10K-Crypturellus-soui	CNP0000505	CNS0103015	################	Guangji Chen	1060000000	1030000000	164811	316	841
182897	Pycnonotus jocosus	red-whiskered bulbul	CNA0003394	B10K-DU-002-42	CNP0000505	CNS0103120	################	Guangji Chen	1040000000	1030000000	142341	1144	214
9176	Pomatostomus ruficeps	chestnut-crowned babbler	CNA0003412	B10K-DU-002-71	CNP0000505	CNS0103138	################	Guangji Chen	1040000000	1030000000	240144	3289	70
2585812	Leptocoma aspasia	NA	CNA0003331	B10K-DU-001-35	CNP0000505	CNS0103282	################	Guangji Chen	1040000000	1030000000	33686	379	740
48396	Crypturellus undulatus	NA	CNA0003284	B10K-Crypturellus-undulatus	CNP0000505	CNS0103016	################	Guangji Chen	1030000000	1030000000	181724	670	375
357074	Pteruthius melanotis	NA	CNA0003508	B10K-IZ-033-77	CNP0000505	CNS0103231	################	Guangji Chen	1050000000	1030000000	5518	151	2057
1118519	Centropus unirufus	NA	CNA0003464	B10K-DU-017-25	CNP0000505	CNS0103189	################	Guangji Chen	1050000000	1030000000	4898	137	2073
73324	Sylvia borin	garden warbler	CNA0003380	B10K-DU-002-19	CNP0000505	CNS0103107	################	Guangji Chen	1040000000	1030000000	87065	369	724
254528	Daphoenositta chrysoptera	varied sittella	CNA0003487	B10K-DU-029-47	CNP0000505	CNS0103211	################	Guangji Chen	1040000000	1030000000	55298	375	797
254552	Melanocharis versteri	Fan-tailed berrypecker	CNA0003478	B10K-DU-029-37	CNP0000505	CNS0103202	################	Guangji Chen	1040000000	1030000000	71587	323	846
38397	Orthonyx spaldingii	northern chowchilla	CNA0003475	B10K-DU-029-32	CNP0000505	CNS0103199	################	Guangji Chen	1040000000	1030000000	31247	220	1307
66707	Polioptila caerulea	NA	CNA0003354	B10K-DU-001-66	CNP0000505	CNS0103081	################	Guangji Chen	1050000000	1030000000	101527	456	600
141839	Probosciger aterrimus	palm cockatoo	CNA0003465	B10K-DU-017-47	CNP0000505	CNS0103190	################	Guangji Chen	1060000000	1030000000	14501	1469	199
187451	Vidua macroura	NA	CNA0003400	B10K-DU-002-50	CNP0000505	CNS0103126	################	Guangji Chen	1050000000	1030000000	264915	1407	162
254575	Pardalotus punctatus	spotted pardalote	CNA0003490	B10K-DU-029-51	CNP0000505	CNS0103214	################	Guangji Chen	1040000000	1030000000	95021	834	302
175120	Irena cyanogastra	fairy bluebird	CNA0003322	B10K-DU-001-26	CNP0000505	CNS0103051	################	Guangji Chen	1040000000	1030000000	65835	488	550
81907	Alectura lathami	australian brush-turkey	CNA0003334	B10K-DU-001-39	CNP0000505	CNS0103061	################	Guangji Chen	1060000000	1030000000	141553	1295	225
449384	Ptilorrhoa leucosticta	NA	CNA0003295	B10K-CU-031-17	CNP0000505	CNS0103026	################	Guangji Chen	1110000000	1030000000	11352	222	1207
98133	Mystacornis crossleyi	Crossley's babbler	CNA0003415	B10K-DU-002-82	CNP0000505	CNS0103141	################	Guangji Chen	1140000000	1030000000	438584	8033	34
28713	Lanius ludovicianus	NA	CNA0003353	B10K-DU-001-65	CNP0000505	CNS0103080	################	Guangji Chen	1040000000	1030000000	36384	436	684
254446	Chaetorhynchus papuensis	pygmy drongo	CNA0003296	B10K-CU-031-19	CNP0000505	CNS0103027	################	Guangji Chen	1050000000	1040000000	7929	401	715
239386	Serilophus lunatus	silver-breasted broadbill	CNA0003368	B10K-DU-002-03	CNP0000505	CNS0103095	################	Guangji Chen	1040000000	1040000000	29619	323	848
874463	Mohoua ochrocephala	NA	CNA0003502	B10K-DU-030-22	CNP0000505	CNS0103225	################	Guangji Chen	1050000000	1040000000	105765	1325	205
45807	Motacilla alba	white wagtail	CNA0003362	B10K-DU-001-75	CNP0000505	CNS0103089	################	Guangji Chen	1050000000	1040000000	47283	410	680
461239	Eulacestoma nigropectus	wattled ploughbill	CNA0003480	B10K-DU-029-39	CNP0000505	CNS0103204	################	Guangji Chen	1040000000	1040000000	29354	237	1159
181099	Oriolus oriolus	Eurasian golden oriole	CNA0003384	B10K-DU-002-24	CNP0000505	CNS0103111	################	Guangji Chen	1040000000	1040000000	50815	380	711
237438	Rhabdornis inornatus	NA	CNA0003325	B10K-DU-001-29	CNP0000505	CNS0103053	################	Guangji Chen	1040000000	1040000000	49538	262	1033
