projectGoldId	projectName	legacyGoldId	studyGoldId	biosampleGoldId	organismGoldId	itsProposalId	itsSpid	itsSampleId	pmoProjectId	gptsProposalId	ncbiBioProjectAccession	ncbiBioSampleAccession	projectStatus	sequencingStatus	jgiFundingProgram	jgiFundingYear	hmpId	modDate	addDate	sequencingStrategy	sequencingCenters	seqMethod	genomePublications	otherPublications	sraExperimentIds	ncbiTaxId
Gp0044565	Cutaneotrichosporon oleaginosus IBC0246	Gi0051588	Gs0000001		Go0044565	662	1024042			300789	PRJNA239490	SAMN02744832	Permanent Draft	Complete	CSP	2012		2022-12-27	2013-07-19	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX873336']	879819
Gp0046759	Hesseltinella vesiculosa NRRL 3301	Gi0054783	Gs0000001		Go0046760	662	1026982			300789	PRJNA243954	SAMN02745228	Permanent Draft	Complete	CSP	2012		2022-12-27	2013-09-19	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500', 'Illumina MiSeq', 'PacBio RS II']	[]	[]	['SRX1761336', 'SRX1761337', 'SRX1990970', 'SRX1990971', 'SRX1990974', 'SRX712432', 'SRX1990975', 'SRX1990972', 'SRX1990973', 'SRX1990978', 'SRX1990968', 'SRX1990979', 'SRX1990976', 'SRX1990977', 'SRX1990969']	101127
Gp0046570	Periconia macrospinosa DSE2036	Gi0053689	Gs0000001		Go0046570	662	1025594			300789	PRJNA243955	SAMN02745224	Permanent Draft	Complete	CSP	2012		2022-12-27	2013-08-22	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[{'pubmedId': 29679020, 'journalName': 'Scientific reports', 'volume': '8', 'issue': '1', 'page': '6321', 'title': 'Comparative genomics provides insights into the lifestyle and reveals functional heterogeneity of dark septate endophytic fungi.', 'publicationDate': '2018-02-01', 'doi': '10.1038/s41598-018-24686-4'}]	[]	['SRX711917']	97972
Gp0046819	Obba rivulosa 3A-2	Gi0054809	Gs0000001		Go0046819	662	1027201			300789	PRJNA247915	SAMN02787026	Permanent Draft	Complete	CSP	2012		2022-12-27	2013-09-19	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[{'pubmedId': 27634999, 'journalName': 'Genome announcements', 'volume': '4', 'issue': '5', 'page': None, 'title': 'Draft Genome Sequence of the White-Rot Fungus Obba rivulosa 3A-2.', 'publicationDate': '2016-10-01', 'doi': '10.1128/genomeA.00976-16'}]	[]	['SRX1759213', 'SRX712591']	1052685
Gp0046822	Panellus stypticus LUM	Gi0054812	Gs0000001		Go0046822	662	1026971			300789	PRJNA245622	SAMN02745714	Permanent Draft	Complete	CSP	2012		2022-12-27	2013-09-19	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500', 'Illumina HiSeq 2500-Rapid', 'PacBio RS II']	[]	[]	['SRX2052306', 'SRX2052305', 'SRX2052302', 'SRX2052301', 'SRX2052304', 'SRX2052303', 'SRX2052290', 'SRX2052292', 'SRX2052298', 'SRX2052297', 'SRX2052300', 'SRX2052289', 'SRX2052299', 'SRX2052288', 'SRX1759266', 'SRX2052294', 'SRX2052293', 'SRX2052296', 'SRX2052295', 'SRX1759262']	5636
Gp0036668	Guyanagaster necrorhizus MCA 3950	Gi0042480	Gs0000001		Go0036668	662	1019625			300789	PRJNA234669	SAMN05660966	Permanent Draft	Complete	CSP	2012		2023-02-17	2013-03-18	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX2110272', 'SRX2110273']	1450536
Gp0036270	Panellus stipticus KUC8834	Gi0042416	Gs0000001		Go0036272	662	1018599			300789	PRJNA252871	SAMN02865412	Permanent Draft	Complete	CSP	2012		2023-01-13	2013-03-18	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX711966']	5636
Gp0036279	Geastrum triplex GST.BST	Gi0042424	Gs0000001		Go0036279	662	1019441			300789	PRJNA256707	SAMN02946524	incomplete	Complete	CSP	2012		2023-02-17	2013-03-18	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX5295431']	90948
Gp0036284	Aliquandostipite khaoyaiensis CBS 118232	Gi0042296	Gs0000001		Go0036284	662	1019641			300789	PRJNA333961	SAMN05446823	Permanent Draft	Complete	CSP	2012		2023-02-13	2013-03-11	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['PacBio RS II']	[]	[]	['SRX2865317', 'SRX2865316', 'SRX2865315', 'SRX2865314', 'SRX2865309', 'SRX2865319', 'SRX2865308', 'SRX2865318', 'SRX2865320', 'SRX2865324', 'SRX2865313', 'SRX2865323', 'SRX2865312', 'SRX2865311', 'SRX2865322', 'SRX2865321', 'SRX2865310']	112102
Gp0036299	Melanogaster broomeanus MBLB.BST	Gi0042430	Gs0000001		Go0036299	662	1019457			300789	PRJNA234408	SAMN05661048	incomplete	Complete	CSP	2012		2022-12-29	2013-03-18	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500', 'PacBio RS II']	[]	[]	['SRX5009232', 'SRX5009233', 'SRX5009234', 'SRX5009235', 'SRX5009224', 'SRX5009230', 'SRX5009231', 'SRX5009229', 'SRX5009236', 'SRX5009225', 'SRX5009226', 'SRX5009237', 'SRX5009227', 'SRX5009238', 'SRX5009239', 'SRX5009228', 'SRX2110243', 'SRX2110244']	2655010
Gp0036326	Radiomyces spectabilis NRRL 2753 Standard Draft	Gi0042442	Gs0000001		Go0036326	662	1019517			300789	PRJNA366636	SAMN06266976	Permanent Draft	Complete	CSP	2012		2022-12-27	2013-03-18	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['PacBio RS II']	[]	[]	['SRX2518206', 'SRX2518205', 'SRX2518204', 'SRX2518203', 'SRX2518202', 'SRX2518201', 'SRX2518200', 'SRX2518199', 'SRX2518198', 'SRX2518197']	64574
Gp0039166	Pterula gracilis CBS309.79 Standard Draft	Gi0045336	Gs0000001		Go0039166	662	1019505			300789	PRJNA333969	SAMN05519225	Permanent Draft	Complete	CSP	2012		2023-01-10	2013-04-05	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500-1TB']	[{'pubmedId': 30886374, 'journalName': 'Nature ecology & evolution', 'volume': None, 'issue': None, 'page': None, 'title': 'Megaphylogeny resolves global patterns of mushroom evolution.', 'publicationDate': '2019-02-01', 'doi': '10.1038/s41559-019-0834-1'}]	[]	['SRX3028876', 'SRX3028877']	1884261
Gp0039183	Penicillium brevicompactum 1011305	Gi0045338	Gs0000001		Go0039183	662	1020470			300789	PRJNA346833	SAMN05877905	Permanent Draft	Complete	CSP	2012		2022-12-27	2013-04-05	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	[]	5074
Gp0072276	Pseudovirgaria hyperparasitica CBS 121739	Gi0063329	Gs0000001		Go0072276	662	1032442			300789	PRJNA245627	SAMN02745604	Permanent Draft	Complete	CSP	2012		2022-12-27	2013-12-17	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX2052526', 'SRX2052527']	470096
Gp0092282	Coprinopsis marcescibilis CBS121175	Gi0072887	Gs0000001		Go0092282	662	1040687			300789	PRJNA247837	SAMN02787011	Permanent Draft	Complete	CSP	2012		2022-12-27	2014-04-17	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[{'pubmedId': 30886374, 'journalName': 'Nature ecology & evolution', 'volume': None, 'issue': None, 'page': None, 'title': 'Megaphylogeny resolves global patterns of mushroom evolution.', 'publicationDate': '2019-02-01', 'doi': '10.1038/s41559-019-0834-1'}]	[]	['SRX2112581']	230819
Gp0036333	Valetoniellopsis laxa CBS 191.97	Gi0042322	Gs0000001		Go0036334	662	1019489			300789	PRJNA239487	SAMN02744847	Permanent Draft	Complete	CSP	2012		2023-02-17	2013-03-11	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX711933', 'SRX711934']	152775
Gp0113421	Armillaria solidipes 28-4 Standard Draft		Gs0000001		Go0111461	662	1032462			300789	PRJNA334329	SAMN05446393	Permanent Draft	Complete	CSP	2012		2022-12-27	2015-04-20	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500-1TB']	[]	[]	['SRX5202896', 'SRX5202895']	1076256
Gp0113742	Coniochaeta sp. AK0013 Standard Draft		Gs0000001		Go0111668	662	1033493			300789	PRJNA334363	SAMN05518933	Permanent Draft	Complete	CSP	2012		2022-12-27	2015-04-20	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500-1TB']	[]	[]	['SRX2865339', 'SRX2865340']	1884255
Gp0113789	Morchella importuna SCYDJ1-A1 Standard Draft		Gs0000001		Go0111690	662	1047733			300789	PRJNA334370	SAMN05442956	Permanent Draft	Complete	CSP	2012		2022-12-27	2015-04-20	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500-1TB']	[{'pubmedId': 31314937, 'journalName': 'Environmental microbiology', 'volume': None, 'issue': None, 'page': None, 'title': 'Multi-omic analyses of exogenous nutrient bag decomposition by the black morel Morchella importuna reveal sustained carbon acquisition and transferring.', 'publicationDate': '2019-02-01', 'doi': '10.1111/1462-2920.14741'}]	[]	['SRX2118907', 'SRX2118908']	1174673
Gp0113806	Mytilinidion resinicola CBS 304.34 Standard Draft		Gs0000001		Go0111702	662	1040537			300789	PRJNA334371	SAMN05446164	Permanent Draft	Complete	CSP	2012		2022-12-27	2015-04-20	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX2112565', 'SRX2112564']	574789
Gp0113713	Herpotrichia sp. AK1299 Standard Draft		Gs0000001		Go0111654	662	1033477			300789	PRJNA346917	SAMN05920800	incomplete	Complete	CSP	2012		2022-12-27	2015-04-20	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['PacBio Sequel']	[]	[]	['SRX4061351', 'SRX4061350', 'SRX4061349', 'SRX4061348']	1907527
Gp0113727	Kalaharituber pfeilii F3 Standard Draft		Gs0000001		Go0111662	662	1060175			300789	PRJNA334362	SAMN05446220	Permanent Draft	Complete	CSP	2012		2022-12-27	2015-04-20	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500-1TB', 'PacBio RS II']	[]	[]	['SRX2138797', 'SRX2138798', 'SRX2138799', 'SRX2138800', 'SRX2138801', 'SRX2138802', 'SRX2138803', 'SRX2138804']	139406
Gp0113311	Halojulella avicenniae ATCC 66911		Gs0000001		Go0111367	662	1042897			300789	PRJNA370734	SAMN06310394	incomplete	Complete	CSP	2012		2022-12-27	2015-04-20	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX5627806', 'SRX5627807']	193131
Gp0113509	Codinaeopsis sp. FL1790  Standard Draft		Gs0000001		Go0111514	662	1033485			300789	PRJNA346875	SAMN05920956	incomplete	Complete	CSP	2012		2022-12-27	2015-04-20	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['PacBio Sequel']	[]	[]	['SRX5202933', 'SRX5202932']	2185273
Gp0032992	Neoconidiobolus thromboides FSU 785	Gi22553	Gs0000001		Go0032991	662	1015483			300789	PRJNA196084	SAMN02745876	Permanent Draft	Complete	CSP	2012		2023-02-12	2012-11-01	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX875104']	1314799
Gp0110875	Sirobasidium intermedium CBS7805 Standard Draft		Gs0000001		Go0110403	662	1051197			300789	PRJNA333700	SAMN05446010	Permanent Draft	Complete	CSP	2012		2022-12-27	2015-02-25	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500-1TB']	[]	[]	['SRX2124814', 'SRX2124815']	89935
Gp0113618	Crucibulum laeve CBS 166.37 Standard Draft		Gs0000001		Go0111604	662	1059303			300789	PRJNA333385	SAMN05445892	Permanent Draft	Complete	CSP	2012		2022-12-27	2015-04-20	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500-1TB']	[{'pubmedId': 30886374, 'journalName': 'Nature ecology & evolution', 'volume': None, 'issue': None, 'page': None, 'title': 'Megaphylogeny resolves global patterns of mushroom evolution.', 'publicationDate': '2019-02-01', 'doi': '10.1038/s41559-019-0834-1'}]	[]	['SRX3028898', 'SRX3028897']	68775
Gp0113626	Solicoccozyma terreus UCDFST 61-443 Standard Draft		Gs0000001		Go0111608	662	1063585			300789	PRJNA333388	SAMN05445894	incomplete	Complete	CSP	2012		2023-02-17	2015-04-20	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500-1TB']	[]	[]	['SRX2139622']	40409
Gp0113695	Geranomyces variabilis JEL 559 Standard Draft		Gs0000001		Go0111643	662	1042709			300789	PRJNA334359	SAMN05445907	incomplete	Complete	CSP	2012		2023-02-17	2015-04-20	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500-1TB']	[]	[]	['SRX2114757']	109894
Gp0114597	Haglerozyma chiarellii ATCC MYA-4694 Standard Draft		Gs0000001		Go0112329	662	1042939			300789	PRJNA332936	SAMN05445932	Permanent Draft	Complete	CSP	2012		2022-12-27	2015-04-20	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX2114780', 'SRX2114781']	457529
Gp0136736	Pilobolus umbonatus NRRL 6349 Fungal Standard Draft		Gs0000001		Go0126194	662	1085229			300789	PRJNA331830	SAMN05444670	Permanent Draft	Complete	CSP	2012		2023-01-02	2016-03-25	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['PacBio RS II']	[]	[]	['SRX2926114', 'SRX2926125', 'SRX2926126', 'SRX2926115', 'SRX2926105', 'SRX2926116', 'SRX2926106', 'SRX2926117', 'SRX2926107', 'SRX2926118', 'SRX2926108', 'SRX2926119', 'SRX2926109', 'SRX2926120', 'SRX2926110', 'SRX2926121', 'SRX2926111', 'SRX2926122', 'SRX2926112', 'SRX2926123', 'SRX2926113', 'SRX2926124']	101123
Gp0191682	Epithele typhae CBS 203.58 Standard Draft		Gs0000001		Go0357138	662	1119271			300789	PRJNA363664	SAMN06264366	incomplete	Complete	CSP	2012		2022-12-29	2016-12-15	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['PacBio RS II']	[]	[]	['SRX4640079', 'SRX4640078', 'SRX4640085', 'SRX4640084', 'SRX4640083', 'SRX4640082', 'SRX4640081', 'SRX4640080']	378194
Gp0191687	Melanops tulasnei CBS 116805 Standard Draft		Gs0000001		Go0357143	662	1119285			300789	PRJNA368363	SAMN06266985	incomplete	Complete	CSP	2012		2022-12-29	2016-12-15	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['PacBio RS II']	[]	[]	['SRX4365279', 'SRX4365278', 'SRX4365277', 'SRX4365276', 'SRX4365275', 'SRX4365283', 'SRX4365282', 'SRX4365281', 'SRX4365280']	371115
Gp0196963	Moniliella sp MCA 3643 Standard Draft		Gs0000001		Go0358351	662	1123012			300789	PRJNA370064	SAMN06310396	incomplete	Complete	CSP	2012		2023-02-17	2017-01-31	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['PacBio RS II']	[]	[]	['SRX3539834', 'SRX3539829', 'SRX3539827', 'SRX3539828', 'SRX3539832', 'SRX3539833', 'SRX3539830', 'SRX3539831']	1954213
Gp0230244	Syncephalis pseudoplumigaleata Benny S71-1 - Syn4F3		Gs0000001		Go0036342	662	1019525	101902		300789	PRJNA421599	SAMN08148442	incomplete	Complete	CSP	2012		2017-12-08	2017-08-26	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina MiSeq', 'Illumina HiSeq 2500-1TB']	[]	[]	[]	1712513
Gp0234573	Thamnocephalis sphaerospora RSA 1356 - Tham5hM03		Gs0000001		Go0118503	662	1090758	101908		300789	PRJNA421753	SAMN08153364	incomplete	Complete	CSP	2012		2022-08-14	2017-08-26	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina MiSeq', 'Illumina HiSeq 2500-1TB']	[]	[]	[]	78915
Gp0220339	Exobasidium maculosum A7-4 Standard Draft		Gs0000001		Go0369220	662	1150438			300789	PRJNA442817	SAMN08778281	incomplete	Complete	CSP	2012		2023-02-12	2017-06-29	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['PacBio Sequel']	[]	[]	['SRX3988356']	1493668
Gp0230240	Syncephalis pseudoplumigaleata Benny S71-1 - Syn4A10		Gs0000001		Go0036342	662	1019525	101899		300789	PRJNA421595	SAMN08148433	incomplete	Complete	CSP	2012		2017-12-08	2017-08-26	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina MiSeq', 'Illumina HiSeq 2500-1TB']	[]	[]	[]	1712513
Gp0230830	Caulochytrium protostelioides ATCC52028 - #3		Gs0000001		Go0047315	662	1027356	48985		300789	PRJNA421602	SAMN08148460	incomplete	Complete	CSP	2012		2017-12-08	2017-08-26	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500', 'Illumina MiSeq']	[]	[]	[]	1555241
Gp0234568	Thamnocephalis sphaerospora RSA 1356 - Tham5hG04		Gs0000001		Go0118503	662	1090758	101905		300789	PRJNA421748	SAMN08153354	incomplete	Complete	CSP	2012		2022-08-14	2017-08-26	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina MiSeq', 'Illumina HiSeq 2500-1TB']	[]	[]	[]	78915
Gp0457376	Bretziella fagacearum C519 Standard Draft		Gs0000001		Go0529075	662	1117638			300789	PRJNA677221	SAMN16773066	incomplete	Complete	CSP	2012		2023-02-17	2019-10-30	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['PacBio Sequel II']	[]	[]	['SRX9530328']	1836592
Gp0487747	Chytridiomycota sp. ES0238 -H2.5		Gs0000001		Go0537778	662	1111257			300789	PRJNA650730	SAMN15759852	incomplete	Complete	CSP	2012		2023-02-17	2020-04-14	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina MiSeq']	[]	[]	[]	2761389
Gp0568758	Aestipascuomyces dupliciliberans NHY-2020a Standard Draft		Gs0000001		Go0580370	662	1305583			300789			incomplete	In progress	CSP	2012		2023-02-03	2021-05-28	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['PacBio Sequel IIe']	[]	[]	[]	2789200
Gp0024398	Piedraia hortae 480.64 Standard Draft	Gi38932	Gs0000001		Go0024398	662	1011305			300789	PRJNA196052	SAMN02745870	Permanent Draft	Complete	CSP	2012		2023-02-17	2012-09-25	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX871950']	147573
Gp0033112	Lophiostoma macrostomum CBS 122681	Gi38949	Gs0000001		Go0033112	662	1011357			300789	PRJNA196073	SAMN02745968	Permanent Draft	Complete	CSP	2012		2023-02-13	2012-11-01	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX874809', 'SRX874810']	1314788
Gp0033001	Hericium coralloides FP-101451	Gi22558	Gs0000001		Go0033000	662	1006085			300789	PRJNA346772	SAMN05920750	incomplete	Complete	CSP	2012		2022-12-27	2012-11-01	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['PacBio RS II']	[]	[]	['SRX5009221', 'SRX5009222', 'SRX5009223', 'SRX5009220', 'SRX5009218', 'SRX5009219', 'SRX5009215', 'SRX5009216', 'SRX5009217']	100756
Gp0046824	Mollisia scopiformis CBS 120377	Gi0054814	Gs0000001		Go0046824	662	1027008			300789	PRJNA262390	SAMN04009710	Permanent Draft	Complete	CSP	2012		2022-12-27	2013-09-19	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[{'pubmedId': 26950333, 'journalName': 'Genome announcements', 'volume': '4', 'issue': '1', 'page': None, 'title': 'Full Genome of Phialocephala scopiformis DAOMC 229536, a Fungal Endophyte of Spruce Producing the Potent Anti-Insectan Compound Rugulosin.', 'publicationDate': '2016-02-01', 'doi': '10.1128/genomeA.01768-15'}]	[]	['SRX2052338', 'SRX2052337']	149040
Gp0034224	Exobasidium vaccinii MPITM	Gi22658	Gs0000001		Go0034224	662	1016319			300789	PRJNA196015	SAMN02744995	Permanent Draft	Complete	CSP	2012		2022-12-30	2012-12-12	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX1758599', 'SRX711978', 'SRX711979', 'SRX1758600']	1314671
Gp0036396	Piptocephalis cylindrospora RSA2659 Single Cell Genome		Gs0000001		Go0036396	662	1019821			300789	PRJNA346814	SAMN05920701	incomplete	Complete	CSP	2012		2022-12-30	2013-03-18	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[{'pubmedId': 30297742, 'journalName': 'Nat Microbiol', 'volume': '3', 'issue': '12', 'page': '1417-1428', 'title': 'Leveraging single-cell genomics to expand the fungal tree of life.', 'publicationDate': '2018-02-01', 'doi': '10.1038/s41564-018-0261-0'}]	[]	['SRX3299062', 'SRX3299063', 'SRX3299059']	1907219
Gp0036414	Massariosphaeria phaeospora CBS 611.86	Gi0042354	Gs0000001		Go0036414	662	1019705			300789	PRJNA333966	SAMN05446820	Permanent Draft	Complete	CSP	2012		2023-02-17	2013-03-11	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['PacBio RS II']	[]	[]	['SRX3538758', 'SRX3538759', 'SRX3538757', 'SRX3538761', 'SRX3538762', 'SRX3538760', 'SRX3538765', 'SRX3538763', 'SRX3538764']	100035
Gp0036416	Lophiotrema nucula CBS 627.86	Gi0042356	Gs0000001		Go0036416	662	1019701			300789	PRJNA333967	SAMN05446821	Permanent Draft	Complete	CSP	2012		2022-12-27	2013-03-11	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500-1TB']	[]	[]	['SRX2471124']	690887
Gp0036261	Setomelanomma holmii CBS 110217	Gi0042286	Gs0000001		Go0036261	662	1019737			300789	PRJNA245746	SAMN02744843	Permanent Draft	Complete	CSP	2012		2022-12-27	2013-03-11	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX2050803']	210430
Gp0036288	Myrothecium inundatum CBS 120646	Gi0042300	Gs0000001		Go0036288	662	1019493			300789	PRJNA239488	SAMN02744845	Permanent Draft	Complete	CSP	2012		2023-02-17	2013-03-11	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX1726411', 'SRX1726412']	110576
Gp0036543	Meredithblackwellia eburnea MCA 4105	Gi0042797	Gs0000001		Go0036544	662	1019597			300789	PRJNA223132	SAMN02744684	Permanent Draft	Complete	CSP	2012		2023-02-17	2013-03-26	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX875164', 'SRX875165']	1323573
Gp0036563	Tothia fuscella CBS 130266	Gi0042805	Gs0000001		Go0036563	662	1019713			300789	PRJNA245630	SAMN02744688	Permanent Draft	Complete	CSP	2012		2022-12-27	2013-03-26	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX6433209', 'SRX6433210']	1048955
Gp0036357	Didymosphaeria enalia CBS 304.66	Gi0042332	Gs0000001		Go0036358	662	1019669			300789	PRJNA239483	SAMN02744852	Permanent Draft	Complete	CSP	2012		2023-02-17	2013-03-11	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX875166', 'SRX6433206']	85948
Gp0036373	Hydnum rufescens UP504	Gi0042462	Gs0000001		Go0036373	662	1019557			300789	PRJNA234814	SAMN05660910	Permanent Draft	Complete	CSP	2012		2022-12-27	2013-03-18	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500', 'PacBio RS II']	[]	[]	['SRX2110260', 'SRX2110261', 'SRX2110251', 'SRX2110262', 'SRX2110252', 'SRX2110263', 'SRX2110264', 'SRX2110253', 'SRX2110254', 'SRX2110265', 'SRX2110255', 'SRX2110266', 'SRX2110256', 'SRX2110267', 'SRX2110245', 'SRX2110246', 'SRX2110257', 'SRX2110258', 'SRX2110259']	139363
Gp0040004	Leptodontidium sp. 2 PMI_412	Gi0045706	Gs0000001		Go0040004	662	1021550			300789	PRJNA243948	SAMN02744648	Permanent Draft	Complete	CSP	2012		2023-02-17	2013-04-30	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX2470989']	1485227
Gp0039948	Clavulina sp. PMI_390	Gi0045689	Gs0000001		Go0039948	662	1021554			300789	PRJNA243946	SAMN02744644	Permanent Draft	Complete	CSP	2012		2022-12-27	2013-04-30	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX711614']	1486700
Gp0072259	Armillaria gallica Ar21-2	Gi0063312	Gs0000001		Go0072259	662	1032466			300789	PRJNA242129	SAMN02745184	Permanent Draft	Complete	CSP	2012		2022-12-29	2013-12-17	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX2052528']	47427
Gp0072267	Coprinellus micaceus FP101781	Gi0063320	Gs0000001		Go0072267	662	1031312			300789	PRJNA247835	SAMN02787017	Permanent Draft	Complete	CSP	2012		2022-12-27	2013-12-17	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500', 'PacBio RS II']	[{'pubmedId': 30886374, 'journalName': 'Nature ecology & evolution', 'volume': None, 'issue': None, 'page': None, 'title': 'Megaphylogeny resolves global patterns of mushroom evolution.', 'publicationDate': '2019-02-01', 'doi': '10.1038/s41559-019-0834-1'}]	[]	['SRX874255', 'SRX1761354', 'SRX713905', 'SRX2052479', 'SRX2052485', 'SRX2052484', 'SRX2052481', 'SRX2052480', 'SRX2052483', 'SRX2052482']	71717
Gp0114573	Thelebolus microsporus ATCC 90970 Standard Draft		Gs0000001		Go0112314	662	1042927			300789	PRJNA332931	SAMN05446549	Permanent Draft	Complete	CSP	2012		2023-02-17	2015-04-20	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX2114772', 'SRX2114773']	319061
Gp0113754	Mytilinidiaceae sp. NC0267 Minimal Draft		Gs0000001		Go0111674	662	1033489			300789	PRJNA346275	SAMN05920970	incomplete	Complete	CSP	2012		2022-12-27	2015-04-20	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500-1TB']	[]	[]	['SRX5295437']	1907213
Gp0113482	Cephaloascus fragrans Phaff 12-1022 Standard Draft		Gs0000001		Go0111497	662	1040513			300789	PRJNA334347	SAMN05445975	Permanent Draft	Complete	CSP	2012		2022-12-27	2015-04-20	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX2112561', 'SRX2112560']	27311
