Subfamily,Tribe,Species,Sample_local," Countries",Haploid_n,Diploid_2n,Karyotype,Notes,Genome_size_pg,Classic_cytogenetic_data,Molecular_cytogenetic_data,References ,Family
Apinae,Meliponini,Parapartamona zonata,"Chiriboga and Tandayapa, Pichincha",Ecuador,16,32,all metacentric or submetacentric,,,,,Bravo and Arcos 1991 ,Apidae
Apinae,Meliponini,Paratrigona subnuda,"Ribeiro Preto, So Paulo",Brazil,,34,2k= 24acrocentric + 10pseudo-acrocentric,,,C-banding,,Rocha et al. 2003a ,Apidae
Apinae,Meliponini,Paratrigona subnuda,"Viosa, Minas Gerais",Brazil,,,,,0.26,,,Tavares et al. 2012 ,Apidae
Apinae,Meliponini,Partamona ailyae,"Nova Xavantina, Mato Grosso",Brazil,17,34,mostly metacentric or submetacentric,as Partamona aylae,,C-banding,DAPI/CMA3,Brito-Ribon et al. 1999 ,Apidae
Apinae,Meliponini,Partamona chapadicola,"Urbano Santos, Maranho",Brazil,17,34,2k= 24metacentric + 10submetacentric,,0.63,C-banding,"DAPI/CMA3; FISH (microsatellite probes, ribossomal probe)",Tavares et al. 2012Lopes et al. 2020 ,Apidae
Apinae,Meliponini,Partamona cupira,"Guimarnia, Minas Gerais",Brazil,,34,2k= 10metacentric + 22submetacentric + 2acrocentric,1 B chromosome has been described,,C-banding,DAPI/CMA3,Marthe et al. 2010 ,Apidae
Apinae,Meliponini,Partamona helleri,"Cruz das Almas, Itacar, Jequi, Cravolndia cities from Bahia State; Santa Teresa city from Esprito Santo State; Araponga, Guaraciaba, Juiz de Fora, Pedra do Anta, Piranga, Porto Firme, Rio Vermelho, So Miguel do Anta, Viosa cities from Minas Gerais State",Brazil,17,34,mostly metacentric or submetacentric,up to 7 B chromosomes have been described,0.55,"C-banging, Ag-NOR","DAPI/CMA3; FISH (chromosome painting, ribossomal probe, repetitive and microsatellite probes)",Costa et al. 1992Brito et al. 1997Tosta et al. 2004Brito et al. 2005Tosta et al. 2007Martins et al. 2009Tavares et al. 2012Martins et al. 2013Martins et al. 2014 ,Apidae
Apinae,Meliponini,Partamona mulata,"Cuiab, Mato Grosso",Brazil,17,34,mostly metacentric or submetacentric,,,C-banding,DAPI/CMA3,Brito-Ribon et al. 1999 ,Apidae
Apinae,Meliponini,Partamona nhambiquara,"Nova Xavantina, Mato Grosso; Tangar da Serra, Mato Grosso",Brazil,17,34,2k= 24metacentric + 10submetacentric,,,C-banding,"DAPI/CMA3; FISH (microsatellite probes, ribossomal probe)",Brito-Ribon et al. 1999Lopes et al. 2020 ,Apidae
Apinae,Meliponini,Partamona peckolti,"San Francisco de Las Pampas village, Cotopaxi province",Ecuador,,34,,,,C-banding,DAPI/CMA3,Brito et al. 2003 ,Apidae
Apinae,Meliponini,Partamona rustica,"Januria, Minas Gerais; Lontra, Minas Gerais",Brazil,,34,,B chromosomes have been described,0.57-0.59,,,Tavares et al. 2012Tosta et al. 2014 ,Apidae
Apinae,Meliponini,Partamona seridoensis,"SantAna do Serid, Rio Grande do Norte",Brazil,17,34,mostly metacentric or submetacentric,,,C-banding,DAPI/CMA3; FISH (ribossomal probe),Brito et al. 2005 ,Apidae
Apinae,Meliponini,Partamona vicina,"Nova Xavantina, Mato Grosso",Brazil,17,34,mostly metacentric or submetacentric,,,C-banding,DAPI/CMA3,Brito-Ribon et al. 1999 ,Apidae
Apinae,Meliponini,Plebeia droryana,Locality not specified,Brazil,17,34,k= 12pseudo-acrocentric + 2acrocentric + 3metacentric,,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Apinae,Meliponini,Plebeia droryana,"Viosa, Minas Gerais",Brazil,,,,,0.48-0.49,,,Tavares et al. 2012 ,Apidae
Apinae,Meliponini,Plebeia droryana,"Ribeiro Preto, So Paulo",Brazil,,,,,0.52,,,Tavares et al. 2012 ,Apidae
Apinae,Meliponini,Plebeia lucii,"Viosa, Minas Gerais",Brazil,,34,2k= 22pseudo-acrocentric + 12acrocentric,,0.43,C-banding,DAPI/CMA3,Godoy et al. 2013Tavares et al. 2012 ,Apidae
Apinae,Meliponini,Plebeia phrynostoma,Esprito Santo,Brazil,,34,2k= 18pseudo-acrocentric + 10acrocentric + 6metacentric,,,C-banding,DAPI/CMA3,Godoy et al. 2013 ,Apidae
Apinae,Meliponini,Plebeia sp.1,"Viosa, Minas Gerais",Brazil,,34,,,,Ag-NOR,,Maffei et al. 2001 ,Apidae
Apinae,Meliponini,Plebeiasp.,"Xapuri, Acre",Brazil,,,,,0.43-0.44,,,Tavares et al. 2012 ,Apidae
Apinae,Meliponini,Plebeina hildebrandti,Moamba,Moambique,18,,,as Plebeia (Plebeia) denoiti,,,,Kerr 1972 ,Apidae
Apinae,Meliponini,Ptilotrigona lurida,"Manaus, Amazonas",Brazil,11,,k= 6metacentric + 3acrocentric + 2pseudo-acrocentric,,,C-banding,,Rocha et al. 2003a ,Apidae
Apinae,Meliponini,Scaptotrigona barrocoloradensis,"Although cited as from Brazil, this species does not exist in this Country",Brazil,17,34,k= 6pseudo-acrocentric + 8acrocentric + 3metacentric,as Trigona barrocoloradensis,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Apinae,Meliponini,Scaptotrigona bipunctata,"Ribeiro Preto, So Paulo",Brazil,,,,,0.40-0.44,,,Tavares et al. 2012 ,Apidae
Apinae,Meliponini,Scaptotrigona depilis,"Ribeiro Preto, So Paulo",Brazil,,34,2k= 26acrocentric + 8pseudo-acrocentric,,0.39-0.41,C-banding,,Rocha et al. 2003aTavares et al. 2012 ,Apidae
Apinae,Meliponini,Scaptotrigona postica,"Ribeiro Preto, So Paulo",Brazil,,34,2k= 22acrocentric + 12pseudo-acrocentric,,,C-banding,,Rocha et al. 2003a ,Apidae
Apinae,Meliponini,Scaptotrigona tubiba,"Urbano Santos, Maranho",Brazil,,,,,0.45,,,Tavares et al. 2012 ,Apidae
Apinae,Meliponini,Scaptotrigona xanthotricha,"Camacan, Bahia; Valena, Bahia; Piranga, Minas Gerais; Viosa, Minas Gerais",Brazil,17,34,variable among populations,,,"C-banding, Ag-NOR",DAPI/CMA3,Rocha et al. 2003aDuarte et al. 2009 ,Apidae
Apinae,Meliponini,Scaptotrigona xanthotricha,"Viosa, Minas Gerais",Brazil,,,,,0.42-0.44,,,Lopes et al. 2009Tavares et al. 2012 ,Apidae
Apinae,Meliponini,Scaptotrigonasp.,"So Jos do Sabugi, Paraba",Brazil,,34,2k= 18acrocentric + 16pseudo-acrocentric,,,C-banding,DAPI/CMA3,Rocha et al. 2003a ,Apidae
Apinae,Meliponini,Scaura latitarsis,"Ribeiro Preto, So Paulo",Brazil,,34,2k= 14acrocentric + 20pseudo-acrocentric,,0.43-0.44,C-banding,,Rocha et al. 2003aTavares et al. 2012 ,Apidae
Apinae,Meliponini,Schwarziana quadripunctata,"Viosa, Minas Gerais",Brazil,,34,2k= 18acrocentric + 16pseudo-acrocentric,,,C-banding,,Rocha et al. 2003a ,Apidae
Apinae,Meliponini,Schwarzianasp.,"Domingos Martins, Esprito Santo",Brazil,,,,,0.65,,,Tavares et al. 2012 ,Apidae
Apinae,Meliponini,Tetragona clavipes,"Viosa, Minas Gerais",Brazil,,34,2k= 6acrocentric + 28pseudo-acrocentric,,,C-banding,DAPI/CMA3,Rocha et al. 2003a ,Apidae
Apinae,Meliponini,Tetragonisca angustula,Locality not specified,Brazil,17,34,k= 14pseudo-acrocentric + 2acrocentric + 1metacentric,as Trigona angustula,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Apinae,Meliponini,Tetragonisca angustula,"Tangar da Serra, Mato Grosso; Viosa, Minas Gerais; Mutum, Minas Gerais",Brazil,17,34,2k= 34pseudo-acrocentric,,0.9,C-banding,DAPI/CMA3; FISH (repetitive probe),Rocha et al. 2003aBarth et al. 2011Tavares et al. 2012Pereira et al. 2020 ,Apidae
Apinae,Meliponini,Tetragonisca fiebrigi,"Tangar da Serra, Mato Grosso",Brazil,17,34,2k= 34pseudo-acrocentric,up to 2 B chromosomes have been described,,C-banding,"DAPI/CMA3; FISH (Chromosome Painting, repetitive probe)",Barth et al. 2011Lopes et al. 2014Pereira et al. 2020 ,Apidae
Apinae,Meliponini,Tetragonula minangkabau,Locality not specified,Brazil,20,40,k= 7pseudo-acrocentric + 7acrocentric + 6metacentric,as Trigona minangkabau,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Apinae,Meliponini,Trigona branneri,"Cuiab, Mato Grosso",Brazil,17,34,2k= 16acrocentric + 16pseudo-acrocentric + 2metacentric,,,C-banding,DAPI/CMA3,Costa et al. 2004 ,Apidae
Apinae,Meliponini,Trigona braueri,"Pedra Branca, Bahia",Brazil,,32,2k= 2metacentric + 4acrocentric + 26pseudo-acrocentric,as Trigona fulviventris,,C-banding,DAPI/CMA3,Domingues et al. 2005 ,Apidae
Apinae,Meliponini,Trigona chanchamayoensis,"Cuiab, Mato Grosso; Tangar da Serra, Mato Grosso",Brazil,17,34,2k= 20acrocentric + 12pseudo-acrocentric + 2metacentric,,,C-banding,DAPI/CMA3,Costa et al. 2004Fernandes et al. 2013b ,Apidae
Apinae,Meliponini,Trigona hyalinata,"Cuiab, Mato Grosso",Brazil,17,34,2k= 6acrocentric + 28pseudo-acrocentric,,,C-banding,,Costa et al. 2004 ,Apidae
Apinae,Meliponini,Trigona pallens,"Urbano Santos, Maranho",Brazil,,,,,0.81,,,Tavares et al. 2012 ,Apidae
Apinae,Meliponini,Trigona recursa,"Luislndia, Minas Gerais",Brazil,,34,2k= 4acrocentric + 30pseudo-acrocentric,,,C-banding,,Rocha et al. 2003a ,Apidae
Apinae,Meliponini,Trigona recursa,"Cuiab, Mato Grosso",Brazil,17,34,2k= 14acrocentric + 18pseudo-acrocentric + 2metacentric,,,C-banding,DAPI/CMA3,Costa et al. 2004 ,Apidae
Apinae,Meliponini,Trigonasp.,"Cnego Marinho, Minas Gerais",Brazil,17,,k= 2acrocentric + 15pseudo-acrocentric,as Trigona cfr. fuscipennis,,C-banding,,Rocha et al. 2003a ,Apidae
Apinae,Meliponini,Trigonasp.,"Urbano Santos, Maranho",Brazil,,,,as Trigona fulviventris,0.81,,,Tavares et al. 2012 ,Apidae
Apinae,Meliponini,Trigona spinipes,"Viosa, Minas Gerais",Brazil,,34,2k= 6acrocentric + 28pseudo-acrocentric,,0.42-0.44,C-banding,,Rocha et al. 2003aTavares et al. 2012 ,Apidae
Apinae,Xylocopini,Ceratina calcarata,"Guelph, Ontario",Canada,,,,,0.68,,,Ardila-Garcia et al. 2010 ,Apidae
Apinae,Xylocopini,Ceratina dentipes,"Matsue, Shimane",Japan,17,34,k= 15pseudo-acrocentric + 2metacentric,,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Apinae,Xylocopini,Ceratina dupla,"Guelph, Ontario",Canada,,,,,0.59,,,Ardila-Garcia et al. 2010 ,Apidae
Apinae,Xylocopini,Ceratina flavipes,"Itabashi-ku, Tokyo; Matsue, Shimane; Sendai, Miyagi",Japan,17,34,k= 12pseudo-acrocentric + 5metacentric,,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Apinae,Xylocopini,Ceratina japonica,"Matsue, Shimane",Japan,17,34,k= 16pseudo-acrocentric + 1metacentric,,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Apinae,Xylocopini,Ceratina megastigmata,"Matsue, Shimane",Japan,17,34,k= 16pseudo-acrocentric + 1metacentric,,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Apinae,Xylocopini,Ceratina okinawana,"Iriomote, Okinawa",Japan,17,34,presence of polimorphic chromosomes with different C-banding patterns,,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Apinae,Xylocopini,Ceratina smaragdula,"Matsue, Shimane",Japan,14,28,k= 14pseudo-acrocentric,as Pithitis smaragdula,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Apinae,Xylocopini,Exoneura robusta,Dandenong Ranges of Victoria,Australia,,26,,,,,,Bousjein et al. 2019 ,Apidae
Apinae,Xylocopini,Xylocopa appendiculata,"Kamakura, Kanagawa; Sagamihara, Kanagawa",Japan,17,34,k= 13acrocentric + 4metacentric,,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Apinae,Xylocopini,Xylocopa fenestrata,Ludhiana,India,16,32,,as Xylocopa fenesterata,,,,Kumbkarni 1965 ,Apidae
Apinae,Xylocopini,Xylocopa virginica,"Orlando, Florida",United States,,,,as Xylocopa virginica krombeini,0.69,,,Ardila-Garcia et al. 2010 ,Apidae
Collectinae,Colletini,Colletes babai,"Rifu, Miyagi",Japan,16,32,k= 16pseudo-acrocentric,,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Collectinae,Colletini,Colletes esakii,"Daisen, Tottori",Japan,16,,k= 15pseudo-acrocentric + 1acrocentric,,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Collectinae,Hylaeini,Hylaeus affinis,"Lake Placid, Florida",United States,,,,,0.64,,,Ardila-Garcia et al. 2010 ,Apidae
Collectinae,Hylaeini,Hylaeus nippon,"Matsue, Shimane",Japan,8,,k= 1pseudo-acrocentric + 7metacentric,,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Collectinae,Hylaeini,Hylaeus sp. 1,"Rifu, Miyagi",Japan,18,,k= 18metacentric,,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Collectinae,Hylaeini,Hylaeus sp. 2,"Rifu, Miyagi",Japan,28,,k= 26pseudo-acrocentric + 2metacentric,,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Halictinae,Augochlorini,Augochlora pura,"Etna (Ithaca), New York",United States,11,22,k= 9metacentric + 2submetacentric,,,,,BrownJr and Ramberg 1985 ,Apidae
Halictinae,Augochlorini,Augochlorella urania,"Curitiba, Paran",Brazil,16,,,as Augochlorella michaelis,,,,Kerr 1972 ,Apidae
Halictinae,Augochlorini,Augochloropsis metallica,"Guelph, Ontario",Canada,,,,,0.9,,,Ardila-Garcia et al. 2010 ,Apidae
Halictinae,Augochlorini,Augochloropsis sparsilis,"Curitiba, Paran",Brazil,16,,,,,,,Kerr 1972 ,Apidae
Halictinae,Augochlorini,Pseudaugochlora graminea,"Curitiba, Paran",Brazil,8,,,as Pseudaugochloropsis graminea,,,,Kerr 1972 ,Apidae
Halictinae,Halictini,Agapostemon splendens,"Orlando, Florida",United States,,,,,0.66,,,Ardila-Garcia et al. 2010 ,Apidae
Halictinae,Halictini,Agapostemon virescens,"Ithaca, New York",United States,17,34,mostly acrocentric or subacrocentric,,,,,Ramberg et al. 1984 ,Apidae
Halictinae,Halictini,Halictus aerarius,"Fujisawa, Kanagawa; Rifu, Miyagi",Japan,14,28,k= 5pseudo-acrocentric + 9metacentric,,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Halictinae,Halictini,Halictus ligatus,"Guelph, Ontario",Canada,,,,,0.6,,,Ardila-Garcia et al. 2010 ,Apidae
Halictinae,Halictini,Halictus ligatus,"Orlando, Florida",United States,,,,,0.49,,,Ardila-Garcia et al. 2010 ,Apidae
Halictinae,Halictini,Halictus poeyi,"Lake Placid, Florida",United States,,,,,0.4,,,Ardila-Garcia et al. 2010 ,Apidae
Halictinae,Halictini,Lasioglossum allodalum,"Rifu, Miyagi",Japan,20,,k= 13pseudo-acrocentric + 7metacentric,,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Halictinae,Halictini,Lasioglossum cooleyi,Vancouver,Canada,18,,,as Lasioglossum (Evylaeus) cooleyi,,,,Packer and Owen 1989 ,Apidae
Halictinae,Halictini,Lasioglossum duplex,"Fujisawa, Kanagawa; Rifu, Miyagi",Japan,9,18,k= 9metacentric,,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Halictinae,Halictini,Lasioglossum lineatulus,"Ithaca, New York",United States,12,24,all metacentric or submetacentric,Dialictus lineatulus,,,,Ramberg et al. 1984 ,Apidae
Halictinae,Halictini,Lasioglossum malachurum,Frankfurt,Germany,8,16,,as Halictus malachurus,,,,Noll 1931 ,Apidae
Halictinae,Halictini,Lasioglossum rhytidophorus,"Curitiba, Paran",Brazil,6,,,as Lasioglossum (Dialictus) rhytidophorum,,,,Kerr 1972 ,Apidae
Halictinae,Halictini,Lasioglossum taeniolellum,"Sagamihara, Kanagawa",Japan,16,32,k= 7pseudo-acrocentric + 3acrocentric + 6metacentric,,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Halictinae,Halictini,Lasioglossum zephyrum,"Ithaca, New York",United States,13,26,all metacentric or submetacentric,Dialictus zephyrus,,,,Ramberg et al. 1984 ,Apidae
Megachilinae,Anthidiini,Loyolanthidium notatum,"Orlando, Florida",United States,,,,as Anthidiellum notatum rufimaculatum,0.48,,,Ardila-Garcia et al. 2010 ,Apidae
Megachilinae,Megachilini,Megachile ainu,"Matsue, Shimane",Japan,16,,k= 16pseudo-acrocentric,,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Megachilinae,Megachilini,Megachile albitarsis,"Orlando, Florida",United States,,,,,0.8,,,Ardila-Garcia et al. 2010 ,Apidae
Megachilinae,Megachilini,Megachile pseudomonticola,"Matsue, Shimane",Japan,16,,k= 7pseudo-acrocentric + 9metacentric,,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Megachilinae,Megachilini,Megachile rotundata,"Guelph, Ontario",Canada,,,,,0.83,,,Ardila-Garcia et al. 2010 ,Apidae
Megachilinae,Megachilini,Megachile sculpturalis,"Matsue, Shimane; Higashimatsuyama, Saitama",Japan,16,,k= 4pseudo-acrocentric + 12metacentric,as Chalicodoma sculpturalis,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Megachilinae,Megachilini,Megachile spissula,"Sendai, Miyagi",Japan,16,,k= 14pseudo-acrocentric + 2metacentric,as Chalicodoma spissula,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Megachilinae,Osmini,Osmia cornifrons,"Matsue, Shimane",Japan,16,,k= 7pseudo-acrocentric + 9metacentric,,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Megachilinae,Osmini,Osmia cornuta,Locality not specified,,16,32,,,,,,Armbruster 1913Kerr and Laidlaw 1956 ,Apidae
Megachilinae,Osmini,Osmia lignaria,"Matsue, Shimane",Japan,16,,k= 16pseudo-acrocentric,as Osmia lignaria propinqua,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Megachilinae,Osmini,Osmia taurus,"Matsue, Shimane",Japan,16,,k= 16pseudo-acrocentric,,,C-banding,,Hoshiba and Imai 1993 ,Apidae
