Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Anopheles gambiae	African malaria mosquito	sex: male, strain: Pimperena S	7165	ASM154264v1	GCA_001542645.1	GenBank		Contig	101465	293732707	2016-02-02		PRJNA254152	SAMN02943153
Giardia intestinalis assemblage B		strain: BAH15c1	1394984	G_duodenalis_AssB_BAH15c1	GCA_001543975.1	GenBank	From INSDC submitter	Scaffold	32926	10396494	2016-02-01	4992	PRJNA268253	SAMN03217319
Saccharomyces boulardii (nom. inval.)		strain: kirkman	252598	ASM154590v1	GCA_001545905.1	GenBank		Contig	416209	11702116	2016-02-02		PRJNA259300	SAMN04270877
Saccharomyces boulardii (nom. inval.)		strain: Unisankyo	252598	ASM154597v1	GCA_001545975.1	GenBank		Scaffold	202496	11570829	2016-02-02		PRJNA274654	SAMN04270873
Pyricularia oryzae	rice blast fungus	strain: EI9411	318829	EI9411	GCA_001548775.1	GenBank		Scaffold	50072	40306145	2016-02-04		PRJNA304354	SAMN04318447
Pyricularia oryzae	rice blast fungus	strain: EI9604	318829	EI9604	GCA_001548785.1	GenBank		Scaffold	57102	41601338	2016-02-04		PRJNA304354	SAMN04318448
Pyricularia grisea		strain: DS9461	148305	DS9461	GCA_001548795.1	GenBank		Scaffold	50458	42458485	2016-02-04		PRJNA304354	SAMN04318446
Pyricularia grisea		strain: DS0505	148305	ASM154881v1	GCA_001548815.1	GenBank		Scaffold	60243	42710978	2016-02-04		PRJNA304354	SAMN04299554
Pyricularia oryzae	rice blast fungus	strain: SV9610	318829	SV9610	GCA_001548845.1	GenBank		Scaffold	73202	39325514	2016-02-04		PRJNA304354	SAMN04318449
Pyricularia oryzae	rice blast fungus	strain: SV9623	318829	SV9623	GCA_001548855.1	GenBank		Scaffold	72025	39376824	2016-02-04		PRJNA304354	SAMN04318450
Homo sapiens	human	isolate: NA24143, sex: female	9606	GIAB Ashkenazim Mother HG004/NA24143/hu8E87A9 PacBio Assembly with PBcR	GCA_001549595.1	GenBank		Contig	1039719	2944674244	2016-02-16		PRJNA200694	SAMN03283346
Homo sapiens	human	isolate: NA24149, sex: male	9606	GIAB Ashkenazim Father HG003/NA24149/hu6E4515 PacBio Assembly with PBcR	GCA_001549605.1	GenBank		Contig	916048	3031767566	2016-02-16		PRJNA200694	SAMN03283345
Oryza meridionalis	Australian wild rice	cultivar: Taxon B, ecotype: Australia	40149	ASM155179v1	GCA_001551795.1	GenBank		Contig	159640	354610901	2016-02-07		PRJNA305218	SAMN04320550
Oryza rufipogon	common wild rice	cultivar: Taxon A, ecotype: Australia	4529	ASM155180v1	GCA_001551805.1	GenBank		Contig	219409	384518444	2016-02-07		PRJNA305217	SAMN04320549
Preussia sp. BSL10		strain: BSL10	1712568	ASM155386v1	GCA_001553865.1	GenBank		Contig	146059	31475124	2016-02-09		PRJNA295097	SAMN04044471
Wuchereria bancrofti	agent of lymphatic filariasis	isolate: PNG22	6293	Wb_PNG_Genome_assembly_pt22	GCA_001555675.1	GenBank		Scaffold	53640	90325107	2016-02-09		PRJNA275548	SAMN03349691
Reticulascus tulasneorum		strain: NRRL18230	1028407	ASM155749v1	GCA_001557495.1	GenBank		Scaffold	540910	42602674	2016-02-10		PRJNA309909	SAMN04441883
Reticulascus tulasneorum		strain: NRRL18230	1028407	ASM155750v1	GCA_001557505.1	GenBank		Contig	3787933	42868360	2016-02-10		PRJNA309908	SAMN04441882
Penicillium griseofulvum		strain: PG3	5078	ASM156193v1	GCA_001561935.1	GenBank	From INSDC submitter	Contig	2267136	29140916	2016-02-16	9630	PRJNA289974	SAMN03860337
Lentinula edodes	shiitake mushroom	strain: B17	5353	B17	GCA_001562095.1	GenBank		Scaffold	858211	46106741	2016-02-16		PRJNA310971	SAMN04457462
Vitis aestivalis		cultivar: Norton	3605	VitisNorton_MSU1.0	GCA_001562795.1	GenBank		Contig	772	432755284	2016-02-17		PRJNA302606	SAMN04276630
Colletotrichum nymphaeae SA-01		strain: SA-01	1460502	CNYM01	GCA_001563115.1	GenBank	From INSDC submitter	Scaffold	75338	49956273	2016-02-17	14404	PRJNA237763	SAMN02639527
Colletotrichum salicis		strain: CBS 607.94	1209931	CSAL01	GCA_001563125.1	GenBank	From INSDC submitter	Scaffold	25648	48373413	2016-02-17	13783	PRJNA238477	SAMN02644731
Colletotrichum simmondsii		strain: CBS122122	703756	CSIM01	GCA_001563135.1	GenBank	From INSDC submitter	Scaffold	55252	50474234	2016-02-17	13884	PRJNA239224	SAMN02650484
Leucoagaricus sp. SymC.cos		strain: SymC.cos	1714833	ASM156373v1	GCA_001563735.1	GenBank	From INSDC submitter	Scaffold	13275	119028496	2016-02-25	12918	PRJNA295288	SAMN04045427
Microdochium bolleyi		strain: J235TASD1	196109	Microdochium bolleyi v1.0	GCA_001566295.1	GenBank	From INSDC submitter	Scaffold	728468	38835037	2016-02-23	13338	PRJNA308023	SAMN04386150
Conidiobolus coronatus NRRL 28638		strain: NRRL 28638	796925	Conidiobolus coronatus NRRL28638	GCA_001566745.1	GenBank	From INSDC submitter	Scaffold	5199	39903661	2016-02-24	11229	PRJNA67455	SAMN00779232
Fusarium sambucinum		strain: F-4	5128	Fsamv1.0	GCA_001567575.1	GenBank		Contig	180967	37784234	2016-02-24		PRJNA274729	SAMN03331940
Acanthamoeba polyphaga		strain: Linc Ap-1	5757	ASM156762v1	GCA_001567625.1	GenBank		Contig	4176	49353662	2016-02-24		PRJNA307312	SAMN04378134
Talaromyces pinophilus		strain: 1-95	128442	ASM157146v2	GCA_001571465.2	GenBank		Complete Genome	4804168	36480443	2017-07-18		PRJNA310372	SAMN04451644
Alternaria alternata		strain: Z7	5599	ASM157205v1	GCA_001572055.1	GenBank	From INSDC submitter	Contig	1182709	34355870	2016-02-24	12048	PRJNA278916	SAMN03444426
Pythium oligandrum		strain: Po37	41045	ASM157314v1	GCA_001573145.1	GenBank		Scaffold	118166	34857775	2016-02-25		PRJNA310061	SAMN04445819
Gonapodya prolifera JEL478		strain: JEL478	1344416	Ganpr1	GCA_001574975.1	GenBank	From INSDC submitter	Scaffold	63757	48794828	2016-02-26	13912	PRJNA207863	SAMN02746072
Aedes albopictus	Asian tiger mosquito	isolate: Rimini	7160	ASM157499v1	GCA_001574995.1	GenBank		Contig	397	1341044778	2015-12-22		PRJNA289460	SAMN03853745
Aspergillus flavus		strain: 79-2	5059	ASM157663v1	GCA_001576635.1	GenBank		Contig	56879	35835174	2016-02-26		PRJNA293877	SAMN04011587
Aspergillus flavus		isolate: 61-4	5059	ASM157664v1	GCA_001576645.1	GenBank		Contig	119103	36322355	2016-02-26		PRJNA293563	SAMN04007142
Aspergillus flavus		isolate: 40-5	5059	ASM157665v1	GCA_001576655.1	GenBank		Contig	152278	36412503	2016-02-26		PRJNA293560	SAMN04007137
Aspergillus flavus		strain: 26-3	5059	ASM157671v1	GCA_001576715.1	GenBank		Contig	117234	36329774	2016-02-26		PRJNA294001	SAMN04013373
Aspergillus flavus		strain: 78-6	5059	ASM157672v1	GCA_001576725.1	GenBank		Contig	106705	36203959	2016-02-26		PRJNA294005	SAMN04013375
Aspergillus flavus		strain: 72-5	5059	ASM157673v1	GCA_001576735.1	GenBank		Contig	62350	35993818	2016-02-26		PRJNA293565	SAMN04007310
Aspergillus flavus		strain: 206-4	5059	ASM157674v1	GCA_001576745.1	GenBank		Contig	75374	36084636	2016-02-26		PRJNA293884	SAMN04011600
Aspergillus flavus		strain: 54-2	5059	ASM157679v1	GCA_001576795.1	GenBank		Contig	193799	36578698	2016-02-26		PRJNA294002	SAMN04013374
Aspergillus parasiticus		strain: 68-5	5067	ASM157680v1	GCA_001576805.1	GenBank		Contig	47371	30136366	2016-02-26		PRJNA294007	SAMN04013376
Coturnix japonica	Japanese quail	isolate: 7356, sex: male	93934	Coturnix japonica 2.1	GCA_001577835.2	GenBank		Chromosome	511217	927640260	2016-03-01		PRJNA292031	SAMN03989050
Pseudocercospora musae		strain: CBS 116634	113226	ASM157822v1	GCA_001578225.1	GenBank	From INSDC submitter	Scaffold	39833	60439160	2016-03-01	10402	PRJNA289098	SAMN03842026
Pseudocercospora eumusae		strain: CBS 114824	321146	ASM157823v1	GCA_001578235.1	GenBank	From INSDC submitter	Scaffold	77478	47119461	2016-03-01	10939	PRJNA289096	SAMN03842022
Saccharomyces cerevisiae	baker's yeast	strain: 74-D694	4932	S.cerevisiae-74-D694-2.0	GCA_001578265.1	GenBank		Contig	13287	11295890	2016-03-02		PRJNA296913	SAMN04336913
Saccharomyces cerevisiae	baker's yeast	strain: 15V-P4	4932	S.cerevisiae-15V-P4-2.0	GCA_001578275.1	GenBank		Contig	19288	11659428	2016-03-02		PRJNA296913	SAMN03982952
Saccharomyces cerevisiae	baker's yeast	strain: 1B-D1606	4932	S.cerevisiae-1B-D1606-2.0	GCA_001578285.1	GenBank		Contig	72884	11545433	2016-03-02		PRJNA296913	SAMN04110588
Saccharomyces cerevisiae	baker's yeast	strain: 25-25-2V-P3982	4932	25-25-2V-P3982-SPAdes-2.0	GCA_001578295.1	GenBank		Contig	26598	11597823	2016-03-02		PRJNA296913	SAMN04110592
Saccharomyces cerevisiae	baker's yeast	strain: 6P-33G-D373	4932	S.cerevisiae-6P-33G-D373-2.0	GCA_001578385.1	GenBank		Contig	4351	9966607	2016-03-02		PRJNA296913	SAMN04336081
Ditylenchus destructor		isolate: Dd01	166010	ASM157970v1	GCA_001579705.1	GenBank		Scaffold	84231	111138200	2016-03-03		PRJNA312427	SAMN04497895
Phaffia rhodozyma		strain: CBS 7918	264483	ASM157971v1	GCA_001579715.1	GenBank		Scaffold	92159	18757695	2016-03-03		PRJNA306035	SAMN04456988
Hypsibius dujardini		sex: pooled male and female, strain: Sciento	232323	ASM157998v1	GCA_001579985.1	GenBank		Scaffold	16752	182111830	2016-03-03		PRJNA309530	SAMN04435392
Vigna radiata var. radiata	mung bean	cultivar: RIL59	3916	ASM158444v1	GCA_001584445.1	GenBank		Scaffold	45909	454906882	2016-03-09		PRJNA276314	SAMN04011950
Saccharomyces cerevisiae	baker's yeast	strain: MT1	4932	ASM158453v1	GCA_001584535.1	GenBank		Contig	390837	11530168	2015-12-07		PRJNA261871	SAMN03076586
Gonium pectorale		isolate: NIES-2863	33097	ASM158458v1	GCA_001584585.1	GenBank	From INSDC submitter	Scaffold	16298	148806073	2016-03-09	16290	PRJNA302163	SAMN04493491
Phoebis sennae	cloudless sulphur butterfly	isolate: eubule-3314, sex: male	40077	3314_assembly_v1	GCA_001586405.1	GenBank		Scaffold	26405	287490372	2016-03-10		PRJNA308118	SAMN04386831
Sphaeroforma sirkka		isolate: B5	1618205	ASM158696v3	GCA_001586965.3	GenBank		Contig	76403	125441255	2018-09-21		PRJNA305168	SAMN04318421
Parhyale hawaiensis		isolate: Chicago-F, sex: pooled male and female	317513	Phaw_5.0	GCA_001587735.2	GenBank		Scaffold	10438	2752560740	2018-06-22		PRJNA306836	SAMN09470240
Acidomyces richmondensis BFW		strain: BFW	766039	Acidomyces richmondensis BFW v1.0	GCA_001592465.1	GenBank	From INSDC submitter	Scaffold	41596	29881346	2016-03-15	11177	PRJNA207869	SAMN00262666
Saccharomyces cerevisiae	baker's yeast	strain: BSPX042	4932	ASM159265v1	GCA_001592655.1	GenBank		Chromosome	42763	12026443	2016-03-15		PRJNA312691	SAMN04505234
Peltaster fructicola		strain: LNHT1506	286661	ASM159280v2	GCA_001592805.2	GenBank	From INSDC submitter	Complete Genome	3676293	18987130	2020-04-14	8116	PRJNA293964	SAMN04012580
Rhizophagus irregularis		strain: A1	588596	ASM159312v1	GCA_001593125.1	GenBank	From INSDC submitter	Scaffold	18963	125353551	2016-03-16	26582	PRJNA299202	SAMN04195188
Rhizophagus irregularis		strain: A4	588596	ASM159314v1	GCA_001593145.1	GenBank	From INSDC submitter	Scaffold	15073	138327084	2016-03-16	26470	PRJNA299206	SAMN04195388
Rhizophagus irregularis		strain: C2	588596	ASM159315v1	GCA_001593155.1	GenBank	From INSDC submitter	Scaffold	19342	122873294	2016-03-16	26711	PRJNA299212	SAMN04195450
Rhizophagus irregularis		strain: A5	588596	ASM159320v1	GCA_001593205.1	GenBank	From INSDC submitter	Scaffold	16702	131334864	2016-03-16	26526	PRJNA299208	SAMN04195397
Toxoplasma gondii RH		strain: RH	383379	ToxRH1.0	GCA_001593265.1	GenBank		Scaffold	63945	69349265	2016-03-16		PRJNA294483	SAMN04026592
Cryptosporidium meleagridis		strain: UKMEL1	93969	CryMelUKMEL1-1.0	GCA_001593445.1	GenBank	From INSDC submitter	Contig	322908	8973200	2016-03-17	3806	PRJNA222838	SAMN02666797
Cryptosporidium baileyi		strain: TAMU-09Q1	27987	CryBaiTAMU-09Q1-1.0	GCA_001593455.1	GenBank		Contig	203018	8493640	2016-03-17		PRJNA222835	SAMN02382006
Cryptosporidium hominis		strain: TU502_2012	237895	CryHomTU502-1.0	GCA_001593465.1	GenBank	From INSDC submitter	Contig	238509	9107739	2016-03-17	3797	PRJNA222836	SAMN02382005
Cryptosporidium hominis		strain: UKH1	237895	CryHomUKH1-1.0	GCA_001593475.1	GenBank	From INSDC submitter	Contig	179408	9156091	2016-03-17	3769	PRJNA222837	SAMN02382004
Miichthys miiuy	Mi-iuy croaker	sex: female	240162	ASM159371v1	GCA_001593715.1	GenBank		Scaffold	81271	619300777	2016-03-17		PRJNA272995	SAMN02486174
Colletotrichum acutatum		strain: 1	27357	ASM159374v1	GCA_001593745.1	GenBank		Contig	4416304	52129059	2016-03-18		PRJNA314171	SAMN04530072
Atta colombica		isolate: Treedump-2	520822	Acol1.0	GCA_001594045.1	GenBank	From INSDC submitter	Scaffold	15290	291257934	2016-03-25	14289	PRJNA292624	SAMN03982875
Trachymyrmex zeteki		isolate: Tzet28-1	64791	Tzet1.0	GCA_001594055.1	GenBank	From INSDC submitter	Scaffold	52131	267973152	2016-03-31	14858	PRJNA292628	SAMN03982884
Cyphomyrmex costatus		isolate: MS0001	456900	Ccosl1.0	GCA_001594065.1	GenBank	From INSDC submitter	Scaffold	74312	300316566	2016-03-25	16037	PRJNA292630	SAMN03982885
Trachymyrmex cornetzi		isolate: Tcor2-1	471704	Tcor1.0	GCA_001594075.1	GenBank	From INSDC submitter	Scaffold	29356	369438293	2016-03-25	19074	PRJNA292627	SAMN03982882
Trachymyrmex septentrionalis		isolate: Tsep2-gDNA-1	34720	Tsep1.0	GCA_001594115.1	GenBank	From INSDC submitter	Scaffold	14962	291747019	2016-03-25	15352	PRJNA292625	SAMN03982881
Miniopterus natalensis		isolate: MN2012-01, sex: male	291302	Mnat.v1	GCA_001595765.1	GenBank		Scaffold	29777	1803099001	2016-03-22		PRJNA283550	SAMN03652541
Dorcoceras hygrometricum		cultivar: XS01	472368	Boea_hygrometrica.v1	GCA_001598015.1	GenBank	From INSDC submitter	Scaffold	11632	1521360707	2016-04-28	47778	PRJNA182117	SAMN02215335
Parachlorella kessleri		strain: NIES-2152	3074	PK2152_assembly	GCA_001598975.1	GenBank		Contig	33885	59187803	2015-12-19		PRJDB3487	SAMD00025188
Apiotrichum montevideense		strain: JCM 9937	82521	JCM_9937_assembly_v001	GCA_001598995.1	GenBank		Scaffold	510995	24872216	2016-03-01		PRJDB3572	SAMD00027179
Apiotrichum domesticum		strain: JCM 9580	82514	JCM_9580_assembly_v001	GCA_001599015.1	GenBank		Scaffold	628101	24510922	2016-03-01		PRJDB3573	SAMD00028323
Trichoderma atroviride		strain: JCM 9410	63577	JCM_9410_assembly_v001	GCA_001599035.1	GenBank		Scaffold	532905	37316984	2016-03-01		PRJDB3574	SAMD00028324
Thielaviopsis ethacetica		strain: JCM 6961	1526549	JCM_6961_assembly_v001	GCA_001599055.1	GenBank		Scaffold	89197	29468565	2016-03-01		PRJDB3606	SAMD00028325
Ambrosiozyma kashinagicola		strain: JCM 15019	489715	JCM_15019_assembly_v001	GCA_001599075.1	GenBank		Scaffold	418399	12320962	2016-03-01		PRJDB3608	SAMD00028327
Hyphopichia homilentoma		strain: JCM 1507	45558	JCM_1507_assembly_v001	GCA_001599095.1	GenBank		Scaffold	708264	12176763	2016-03-01		PRJDB3610	SAMD00028329
[Candida] sorboxylosa		strain: JCM 1536	49334	JCM_1536_assembly_v001	GCA_001599115.1	GenBank		Scaffold	118414	10714862	2016-03-01		PRJDB3611	SAMD00028330
[Candida] intermedia		strain: JCM 1607	45354	JCM_1607_assembly_v001	GCA_001599135.1	GenBank		Scaffold	954748	13027022	2016-03-01		PRJDB3612	SAMD00028331
Wickerhamia fluorescens		strain: JCM 1821	45790	JCM_1821_assembly_v001	GCA_001599155.1	GenBank		Scaffold	312802	13178500	2016-03-01		PRJDB3613	SAMD00028332
Pestalotiopsis sp. JCM 9685		strain: JCM 9685	1633207	JCM_9685_assembly_v001	GCA_001599175.1	GenBank		Scaffold	669358	48230023	2016-03-01		PRJDB3782	SAMD00028333
Cyberlindnera fabianii		strain: JCM 3601	36022	JCM_3601_assembly_v001	GCA_001599195.1	GenBank		Scaffold	450523	12303847	2016-03-01		PRJDB3616	SAMD00028336
Saccharomycopsis malanga		strain: JCM 7620	44092	JCM_7620_assembly_v001	GCA_001599215.1	GenBank		Scaffold	190130	16719687	2016-03-01		PRJDB3617	SAMD00028337
Meyerozyma carpophila		strain: JCM 9396	374178	JCM_9396_assembly_v001	GCA_001599235.1	GenBank		Scaffold	765813	10242926	2016-03-01		PRJDB3618	SAMD00028338
[Candida] succiphila		strain: JCM 9445	51927	JCM_9445_assembly_v001	GCA_001599255.1	GenBank		Scaffold	546973	12149879	2016-03-01		PRJDB3619	SAMD00028339
Wickerhamiella domercqiae		strain: JCM 9478	45788	JCM_9478_assembly_v001	GCA_001599275.1	GenBank		Scaffold	440821	8470812	2016-03-01		PRJDB3620	SAMD00028340
Sporopachydermia quercuum		strain: JCM 9486	54094	JCM_9486_assembly_v001	GCA_001599295.1	GenBank		Scaffold	852576	16411463	2016-03-01		PRJDB3621	SAMD00028341
Starmerella bombicola		strain: JCM 9596	75736	JCM_9596_assembly_v001	GCA_001599315.1	GenBank		Scaffold	662740	9561028	2016-03-01		PRJDB3622	SAMD00028342
[Candida] boidinii		strain: JCM 9604	5477	JCM_9604_assembly_v001	GCA_001599335.1	GenBank		Scaffold	512251	19377211	2016-03-01		PRJDB3623	SAMD00028343
Nakazawaea peltata		strain: JCM 9829	1538182	JCM_9829_assembly_v001	GCA_001599355.1	GenBank		Scaffold	648860	11653826	2016-03-01		PRJDB3624	SAMD00028344
Phoma herbarum		strain: JCM 15942	73001	JCM_15942_assembly_v001	GCA_001599375.1	GenBank		Scaffold	559926	39263577	2016-03-01		PRJDB3625	SAMD00028345
Scheffersomyces lignosus		strain: JCM 9837	1111081	JCM_9837_assembly_v001	GCA_001599395.1	GenBank		Scaffold	619226	16592489	2016-03-01		PRJDB3626	SAMD00028346
Aspergillus awamori var. piceus		strain: JCM 22320	309746	JCM_22320_assembly_v001	GCA_001599415.1	GenBank		Scaffold	913537	36062713	2016-03-01		PRJDB3628	SAMD00028348
Chalaropsis thielavioides		strain: JCM 1933	112131	JCM_1933_assembly_v001	GCA_001599435.1	GenBank		Scaffold	161617	23333049	2016-03-01		PRJDB3629	SAMD00028349
Aspergillus fumigatus var. fumigatus		strain: JCM 10253	41122	JCM_10253_assembly_v001	GCA_001599455.1	GenBank		Scaffold	624428	28388732	2016-03-01		PRJDB3633	SAMD00028353
Schizophyllum commune		strain: JCM 22674	5334	JCM_22674_assembly_v001	GCA_001599475.1	GenBank		Scaffold	370532	39005850	2016-03-01		PRJDB3635	SAMD00028355
Ustilago maydis		strain: JCM 2005	5270	JCM_2005_assembly_v001	GCA_001599495.1	GenBank		Scaffold	446761	19606871	2016-03-01		PRJDB3636	SAMD00028356
Fusarium commune		strain: JCM 11502	249398	JCM_11502_assembly_v001	GCA_001599515.1	GenBank		Scaffold	930269	46178503	2016-03-01		PRJDB3637	SAMD00028357
Exophiala spinifera		strain: JCM 15939	91928	JCM_15939_assembly_v001	GCA_001599535.1	GenBank		Scaffold	1126370	32702796	2016-03-01		PRJDB3639	SAMD00028359
Memnoniella echinata		strain: JCM 22618	80383	JCM_22618_assembly_v001	GCA_001599555.1	GenBank		Scaffold	270061	43681955	2016-03-01		PRJDB3641	SAMD00028361
Mucor circinelloides		strain: JCM 22480	36080	JCM_22480_assembly_v001	GCA_001599575.1	GenBank		Scaffold	61543	36616466	2016-03-01		PRJDB3642	SAMD00028362
Beverwykella pulmonaria		strain: JCM 9230	409207	JCM_9230_assembly_v001	GCA_001599595.1	GenBank		Scaffold	217175	45966240	2016-03-01		PRJDB3643	SAMD00028363
Thielaviopsis euricoi		strain: JCM 6020	1346820	JCM_6020_assembly_v001	GCA_001599615.1	GenBank		Scaffold	200518	29634442	2016-03-01		PRJDB3645	SAMD00028365
Actinomucor elegans		strain: JCM 22485	64647	JCM_22485_assembly_v001	GCA_001599635.1	GenBank		Scaffold	195194	34171183	2016-03-01		PRJDB3646	SAMD00028366
Golubevia pallescens		strain: JCM 5230	58918	JCM_5230_assembly_v001	GCA_001599655.1	GenBank		Scaffold	380761	27756302	2016-03-01		PRJDB3650	SAMD00028370
Basipetospora chlamydospora		strain: JCM 23157	89487	JCM_23157_assembly_v001	GCA_001599675.1	GenBank		Scaffold	177144	33489886	2016-03-01		PRJDB3651	SAMD00028371
Phaeotremella skinneri		strain: JCM 9039	89928	JCM_9039_assembly_v001	GCA_001599695.1	GenBank		Scaffold	411407	20788256	2016-03-01		PRJDB3655	SAMD00028375
Phaeotremella fagi		strain: JCM 13614	334123	JCM_13614_assembly_v001	GCA_001599715.1	GenBank		Scaffold	999266	22649946	2016-03-01		PRJDB3656	SAMD00028376
Naganishia albida		strain: JCM 2334	100951	JCM_2334_assembly_v001	GCA_001599735.1	GenBank		Scaffold	537998	20697359	2016-03-01		PRJDB3657	SAMD00028377
Gliomastix tumulicola		strain: JCM 17184	909944	JCM_17184_assembly_v001	GCA_001599755.1	GenBank		Scaffold	908364	42385401	2016-03-01		PRJDB3659	SAMD00028379
Exophiala alcalophila		strain: JCM 1751	91920	JCM_1751_assembly_v001	GCA_001599775.1	GenBank		Scaffold	621975	29853552	2016-03-01		PRJDB3660	SAMD00028380
Exophiala calicioides		strain: JCM 6030	135514	JCM_6030_assembly_v001	GCA_001599795.1	GenBank		Scaffold	657640	36366738	2016-03-01		PRJDB3661	SAMD00028381
Furcasterigmium furcatum		strain: JCM 9210	2710536	JCM_9210_assembly_v001	GCA_001599815.1	GenBank		Scaffold	1064050	40320693	2016-03-01		PRJDB3662	SAMD00028382
Thermoascus crustaceus		strain: JCM 12817	5088	JCM_12817_assembly_v001	GCA_001599835.1	GenBank		Scaffold	290402	31644316	2016-03-01		PRJDB3664	SAMD00028384
Penicillium roqueforti		strain: JCM 22842	5082	JCM_22842_assembly_v001	GCA_001599855.1	GenBank		Scaffold	553416	27123058	2016-03-01		PRJDB3665	SAMD00028385
Aspergillus chevalieri		strain: JCM 23047	182096	JCM_23047_assembly_v001	GCA_001599875.1	GenBank		Scaffold	213876	28005201	2016-03-01		PRJDB3666	SAMD00028386
Priceomyces haplophilus		strain: JCM 1635	45502	JCM_1635_assembly_v001	GCA_001599895.1	GenBank		Scaffold	598910	10517128	2016-03-01		PRJDB3667	SAMD00028387
Symbiotaphrina buchneri		strain: JCM 9740	40220	JCM_9740_assembly_v001	GCA_001599915.1	GenBank		Scaffold	443652	23712134	2016-03-01		PRJDB3668	SAMD00028388
Holtermannia corniformis		strain: JCM 1743	71782	JCM_1743_assembly_v001	GCA_001599935.1	GenBank		Scaffold	185236	20721755	2016-03-01		PRJDB3671	SAMD00028391
Cystobasidium pallidum		strain: JCM 3780	106015	JCM_3780_assembly_v001	GCA_001599955.1	GenBank		Scaffold	208756	21721408	2016-03-01		PRJDB3673	SAMD00028393
Cystobasidiopsis lactophilus		strain: JCM 7595	5440	JCM_7595_assembly_v001	GCA_001599975.1	GenBank		Scaffold	1453215	22180604	2016-03-01		PRJDB3676	SAMD00028396
Ambrosiozyma monospora		strain: JCM 7599	43982	JCM_7599_assembly_v001	GCA_001599995.1	GenBank		Scaffold	206887	24978438	2016-03-01		PRJDB3677	SAMD00028397
Solicoccozyma phenolica		strain: JCM 11743	104411	JCM_11743_assembly_v001	GCA_001600015.1	GenBank		Scaffold	192556	22263516	2016-03-01		PRJDB3680	SAMD00028400
Holtermanniella nyarrowii		strain: JCM 11471	104675	JCM_11471_assembly_v001	GCA_001600035.1	GenBank		Scaffold	418324	17735411	2016-03-01		PRJDB3681	SAMD00028401
Filobasidium wieringae		strain: JCM 11695	104416	JCM_11695_assembly_v001	GCA_001600055.1	GenBank		Scaffold	621482	19781320	2016-03-01		PRJDB3683	SAMD00028403
Yarrowia deformans		strain: JCM 1694	1608523	JCM_1694_assembly_v001	GCA_001600075.1	GenBank		Scaffold	264734	20877144	2016-03-01		PRJDB3684	SAMD00028404
Bullera alba		strain: JCM 2954	157611	JCM_2954_assembly_v001	GCA_001600095.1	GenBank		Scaffold	1486889	19417308	2016-03-01		PRJDB3685	SAMD00028405
Rhodotorula toruloides		strain: JCM 10020	5286	JCM_10020_assembly_v001	GCA_001600115.1	GenBank		Scaffold	567200	20492593	2016-03-01		PRJDB3686	SAMD00028406
Rhodotorula toruloides		strain: JCM 10021	5286	JCM_10021_assembly_v001	GCA_001600135.1	GenBank		Scaffold	548636	20389818	2016-03-01		PRJDB3687	SAMD00028407
Rhodotorula toruloides		strain: JCM 10049	5286	JCM_10049_assembly_v001	GCA_001600155.1	GenBank		Scaffold	614433	20270281	2016-03-01		PRJDB3688	SAMD00028408
Erythrobasidium yunnanense		strain: JCM 10687	114840	JCM_10687_assembly_v001	GCA_001600175.1	GenBank		Scaffold	1363828	20930538	2016-03-01		PRJDB3690	SAMD00028410
Yarrowia keelungensis		strain: JCM 14894	1635098	JCM_14894_assembly_v001	GCA_001600195.1	GenBank		Scaffold	288559	21824367	2016-03-01		PRJDB3795	SAMD00028411
Rhodotorula toruloides		strain: JCM 24501	5286	JCM_24501_assembly_v001	GCA_001600215.1	GenBank		Scaffold	571257	20321374	2016-03-01		PRJDB3691	SAMD00028412
Vanrija humicola		strain: JCM 1457	5417	JCM_1457_assembly_v001	GCA_001600235.1	GenBank		Scaffold	502826	22653840	2016-03-01		PRJDB3692	SAMD00028413
Apiotrichum porosum		strain: JCM 1458	105984	JCM_1458_assembly_v001	GCA_001600255.1	GenBank		Scaffold	302762	25989348	2016-03-01		PRJDB3693	SAMD00028414
Cutaneotrichosporon curvatum		strain: JCM 1532	57679	JCM_1532_assembly_v001	GCA_001600275.1	GenBank		Scaffold	197970	18637344	2016-03-01		PRJDB3694	SAMD00028415
Apiotrichum brassicae		strain: JCM 1599	82513	JCM_1599_assembly_v001	GCA_001600295.1	GenBank		Scaffold	301042	23647732	2016-03-01		PRJDB3695	SAMD00028416
Apiotrichum gamsii		strain: JCM 9941	1105092	JCM_9941_assembly_v001	GCA_001600315.1	GenBank		Scaffold	264663	24609388	2016-03-01		PRJDB3703	SAMD00028424
Apiotrichum gracile		strain: JCM 10018	82516	JCM_10018_assembly_v001	GCA_001600335.1	GenBank		Scaffold	720667	24114851	2016-03-01		PRJDB3704	SAMD00028425
Meira nashicola		strain: JCM 18503	286112	JCM_18503_assembly_v001	GCA_001600355.1	GenBank		Scaffold	1214980	18015688	2016-03-01		PRJDB3711	SAMD00028432
Wickerhamiella versatilis		strain: JCM 5958	27304	JCM_5958_assembly_v001	GCA_001600375.1	GenBank		Scaffold	847044	9313034	2016-03-01		PRJDB3712	SAMD00028433
